phase_bin,mean,std,n_cycles
1,-0.07525086418166264,0.5748773231341388,336
2,-0.14555509453881665,0.6204400598303621,324
3,-0.12667234798139274,0.561167239166596,317
4,0.013996478258203705,0.6461436622764192,322
5,-0.010417109837284777,0.5725903819695353,320
6,-0.12717728524761787,0.4450382237722935,319
7,-0.08235897844818621,0.39542382620791117,320
8,-0.08605027749275372,0.5315428559080453,319
9,-0.11822768141111262,0.623479937852712,322
10,0.1351424779012447,0.6661811531775242,320
11,0.264316975502292,0.8442656546117486,318
12,0.0826959404345692,0.6645919381824525,322
13,0.003890106344148433,0.5551870251773634,318
14,0.019944483641438845,0.5667583869167812,322
15,0.172629405373047,0.5427176326703265,316
16,0.06426750032914036,0.5084754883440656,321
17,-0.16955694223192333,0.4429060440167678,323
18,-0.15119758747690146,0.4198272512920744,318
19,-0.17138183450244193,0.48672969155876633,317
20,-0.1614564627574913,0.46314832754435625,324
21,-0.13440588078503365,0.42745679688201904,317
22,-0.10302693675586418,0.3544047741486487,323
23,-0.048765793090168874,0.3187104326544752,319
24,-0.04894591137230695,0.3047840199929425,319
25,-0.033493629844612585,0.36450018852461874,328
26,-0.03429459186266543,0.3579350672349286,318
27,-0.005722356554248232,0.3077481625399835,323
28,-0.01179370133316722,0.39519971155965045,320
29,-0.016229553401627222,0.3719599232808136,316
30,0.01009136257435081,0.36858234542396906,321
31,0.007632112498142209,0.46692195773724643,322
32,0.0530610757452321,0.3945850806850924,319
33,0.0501453874527179,0.3653987695005752,318
34,0.04452684638967665,0.4038452664159434,320
35,0.04047718123991668,0.39921557595589147,325
36,0.06624304453443186,0.4015015536786876,317
37,0.029025229109956578,0.36092947223373983,320
38,0.07786430131170002,0.5069391151457446,320
39,0.030898382892791603,0.3274917606947925,317
40,0.006187701808163963,0.33187521586377877,324
41,-0.02791039941799306,0.3660587315492758,318
42,0.02555382446816603,0.29282399769558803,320
43,0.0684547695581933,0.38398668345807374,318
44,0.07475200749492228,0.44987665431137003,320
45,0.049268150180787916,0.38880879081892816,322
46,-0.003833411378716383,0.29661643152481254,320
47,-0.13077908802074806,0.5378362401078223,320
48,-0.18043225733311352,0.5179291788700848,319
49,-0.1392181924085493,0.5353269980125765,320
50,-0.042171675555439575,0.5373531471458611,329
51,-0.0015462039474833302,0.5706538775979331,317
52,-0.06727632379764781,0.32317795524793524,320
53,-0.09697745327579793,0.33500388022071215,319
54,-0.13514826972507066,0.4641329984996297,320
55,-0.15117963123423508,0.4947186655247693,322
56,-0.15352277360489325,0.38757670235367603,320
57,-0.11803065373279294,0.3114588324469158,320
58,-0.11933685348414984,0.30144054178948204,318
59,-0.12036487409537626,0.2582613634207118,320
60,-0.1286244230706711,0.2805012708595506,320
61,-0.11638379974230972,0.3004831697952428,322
62,-0.12467854655545402,0.2581704860152035,317
63,-0.09002000938179303,0.24835110475876504,320
64,-0.07146595008946403,0.2540730555257552,320
65,0.07857783238146161,0.2705324403131532,319
66,-0.032286922020624796,0.26141836696739423,323
67,-0.09079808283598746,0.25115404568320143,320
68,-0.10337637237246897,0.23863814936384772,318
69,-0.0816673992940602,0.2649874269709678,319
70,-0.08378212134731108,0.2904358464299207,324
71,-0.07212113034074132,0.27819086503027,319
72,-0.05229215945776693,0.27886473098010767,316
73,-0.07643364983547471,0.2858170205775585,320
74,-0.07788547301090062,0.28750703883957307,323
75,-0.0881611469653893,0.37422264323940685,329
76,0.06394715198335092,0.3411791084977284,317
77,-0.019526591956418718,0.33393169103388787,319
78,-0.07458274686329525,0.36338221566591705,319
79,-0.08322210446619947,0.3936305005069448,323
80,-0.064796320200459,0.36652437690042455,319
81,-0.08640585261080477,0.34283938751709264,322
82,-0.08595046431222082,0.29531874621739707,317
83,-0.06567350001053608,0.26922925353594973,318
84,-0.09935059064221384,0.30141703079814475,323
85,-0.06063036463876764,0.319360760319929,323
86,-0.013183254366258267,0.31647222603520464,314
87,-0.012591105804857203,0.4804852535532379,322
88,-0.0018315755638126817,0.40480898968363077,318
89,-0.012353185589527797,0.3595794068035971,322
90,-0.024123172991940715,0.25459598745787904,320
91,-0.06651669523907772,0.29033560494451527,318
92,-0.09080737659439876,0.2679336960243375,322
93,0.0017273653358760327,0.25620432103420565,319
94,0.029803302564150987,0.2902394536559093,320
95,0.03485248280368741,0.31229949881290653,321
96,-0.0005667827210002306,0.3136609118715978,318
97,0.046175187381505646,0.3974194751762826,322
98,0.21807404403091385,0.4095766090681867,317
99,-0.25668733339052047,0.6835347749488521,324
100,0.061496257914488726,0.5939186289459947,336
