phase_bin,mean,std,n_cycles
1,-0.3625693010812773,0.698142237479743,336
2,-0.4195335772004034,0.7194987148473078,324
3,-0.43353931211112157,0.7519966178513205,317
4,-0.4074859147420063,0.7929132195193132,322
5,-0.3961708738450634,0.8183793589324315,320
6,-0.39228867227327835,0.856766734758513,319
7,-0.37248937395952286,0.8934583503318615,320
8,-0.3667157217730299,0.9204677148104811,319
9,-0.349238157051567,0.934349308519386,322
10,-0.2708153979921791,0.9021594056790239,320
11,-0.28008295946785305,0.9207491775329925,318
12,-0.2695339099727119,0.9335727024386945,322
13,-0.3261755665813695,0.9472643226673745,318
14,-0.33454704791942674,0.9408046451141424,322
15,-0.364911830634535,0.9044062708500935,316
16,-0.3341725367261748,0.915343867369002,321
17,-0.3503740988644647,0.885701115254415,323
18,-0.3701767225926124,0.8675948537410688,318
19,-0.39319329104633505,0.8233804486369832,317
20,-0.36755730767146183,0.8350655560791521,324
21,-0.4037644721290091,0.7881502943012482,317
22,-0.38769562161629173,0.783387380189763,323
23,-0.4070915512325602,0.7505777354894309,319
24,-0.4125080049480288,0.740369423717575,319
25,-0.41072435840227517,0.7133042317834375,328
26,-0.44275600098929113,0.6943480797682104,318
27,-0.43326958217247197,0.693917523495048,323
28,-0.45570849224216586,0.6576312258375199,320
29,-0.4818596704830774,0.6362892806334984,316
30,-0.47932327029795463,0.6423669417007453,321
31,-0.49027902976635634,0.6639809048288488,322
32,-0.5286123922823673,0.6047458851816977,319
33,-0.5658692260011797,0.5493085027519626,318
34,-0.55227734669263,0.5895799286287167,320
35,-0.55540901470414,0.5873130907861094,325
36,-0.5993850696397583,0.5378162569141228,317
37,-0.596429444267941,0.5452331234705008,320
38,-0.5904561388955526,0.57184228966008,320
39,-0.6064114462512356,0.5638724372050038,317
40,-0.5991398179700982,0.5646974814926871,324
41,-0.6089614391283122,0.5501028863128242,318
42,-0.6146312382602712,0.5397545945917814,320
43,-0.5972662059301258,0.5881641803514173,318
44,-0.6077997713568245,0.559516137502788,320
45,-0.5981404060089813,0.5733853902824978,322
46,-0.6038484699422875,0.5551215398268585,320
47,-0.6030491895673747,0.574705006066668,320
48,-0.606218486549498,0.5551763487367728,319
49,-0.6023175598825017,0.5628948908104446,320
50,-0.5846313139552657,0.5747922295496578,329
51,-0.6202011529775757,0.5427139953181854,317
52,-0.6035127220732018,0.5646447597895838,320
53,-0.607555634288073,0.5561078816496297,319
54,-0.6034463241737186,0.5750056798936922,320
55,-0.5997688781060017,0.5589957779878799,322
56,-0.599753097613777,0.573778224099503,320
57,-0.6065582559155417,0.5600753690015551,320
58,-0.5968237108506214,0.5866310957435379,318
59,-0.6142616650461659,0.5375199920921279,320
60,-0.6013366248769271,0.5583585989166543,320
61,-0.6017061124966466,0.5667150241917066,322
62,-0.6121681176579029,0.5539579980049689,317
63,-0.6033435953481028,0.5714477522343653,320
64,-0.6158276532415277,0.5592732737267094,320
65,-0.6388466507756491,0.5269542591043946,319
66,-0.6070275210047811,0.5925878728071747,323
67,-0.6139196532242989,0.5820624821473959,320
68,-0.6352539672711791,0.535430519080674,318
69,-0.6227958510415506,0.5511198899922803,319
70,-0.604336578796188,0.5723433325489804,324
71,-0.6212500881482729,0.5455793313051891,319
72,-0.6320258069654268,0.5471259413351485,316
73,-0.6231502140430398,0.5551058312524292,320
74,-0.6177709563536277,0.5569537370010276,323
75,-0.6129082818815921,0.5564780080494334,329
76,-0.636927369151693,0.552063057495927,317
77,-0.6376854435289918,0.5358663022117071,319
78,-0.6215705511871231,0.5675422329562413,319
79,-0.6181234442971434,0.5544978119471059,323
80,-0.6311743886102348,0.5166051554053032,319
81,-0.6046816846005292,0.5713368145123384,322
82,-0.6260729072265118,0.539725376091404,317
83,-0.6485389050142522,0.49017536390512323,318
84,-0.6094514961938173,0.5619001439613338,323
85,-0.6113057813614672,0.5550386859360871,323
86,-0.644133450436621,0.5064445923307517,314
87,-0.6187913744136263,0.5426726896934261,322
88,-0.6321438950172257,0.5244714242132633,318
89,-0.6066550242593802,0.5461325143238633,322
90,-0.6244142797143359,0.521637655474168,320
91,-0.6210222665517303,0.5330304812510351,318
92,-0.6160399039744712,0.5177313440623824,322
93,-0.6169948416794616,0.5212245945889319,319
94,-0.6028712933083817,0.5426493787302605,320
95,-0.6135974401765504,0.4955458398769115,321
96,-0.6045617017281106,0.5311268080738466,318
97,-0.47684662498443586,0.5227016168107791,322
98,-0.10656239964700595,0.3976271278650875,317
99,-0.41772584682732794,0.5129546704693719,324
100,-0.42750441844842024,0.5409664697111768,336
