phase_bin,mean,std,n_cycles
1,-0.0591245768772403,1.5884560961289405,204
2,-0.17501761675552385,1.6543116574614949,193
3,-0.41994817978848037,1.4308497493165124,193
4,-0.3275594770750721,1.5171160798871013,192
5,-0.31343913072602303,1.4204241454349862,191
6,-0.10459815795508819,1.2237282598740258,193
7,0.24293748942265844,0.9176544262877333,190
8,0.15267504999041887,0.9888333435099325,189
9,0.18220263889682095,1.105081919601067,188
10,0.31323225959466755,0.7960186429550606,194
11,0.4583124342785485,0.5603488214996981,190
12,0.3710517931710303,0.7702590475245296,194
13,0.1898356175945202,0.9075887664960797,190
14,0.13416532908310227,0.9380644016271459,191
15,0.23530746838742042,0.8040311242148872,191
16,0.20701563495068254,0.7675220746380459,190
17,0.09128479076053422,0.8503015570679343,189
18,0.07103807523047352,0.9165493733912219,192
19,0.16172286192079993,0.9264160065410398,190
20,0.11285239455489175,0.8683832548638597,194
21,0.1372573195407313,0.7656786314989134,193
22,0.24756013638519106,0.6404055525770946,184
23,0.35957338814019435,0.6180671557029869,195
24,0.42231774883332474,0.5344742767119982,193
25,0.3317886796131985,0.5403702738599216,191
26,0.473914104681836,0.5218104678012466,189
27,0.542592237458439,0.4018125370860303,187
28,0.44922474728327283,0.40250988054743214,193
29,0.4217445915290206,0.44078935403293046,191
30,0.42152916375356925,0.5181771705617154,194
31,0.3149373803425753,0.6247276394253025,190
32,0.2550444848187688,0.6630464883030965,189
33,0.33903658461310876,0.7992680273854286,192
34,0.1275190091844403,0.7792682799825417,190
35,-0.016440100265819168,0.7231516700560614,192
36,-0.06110651849625834,0.7597016572631491,192
37,-0.1622254262482137,0.7443022158976436,186
38,-0.12423828545400323,0.7961423685848085,194
39,-0.12974490769937114,0.9403983508704052,194
40,-0.10310748146342262,0.9654142289427436,187
41,-0.07483164697473026,0.9272076593639345,194
42,0.054113480480837424,0.8255717183199928,190
43,0.06773354041658869,0.7521506138758057,189
44,0.1336101062470797,0.6466684181816724,190
45,0.1590904268544035,0.6036489863776461,193
46,0.16406559156027664,0.5582531763194213,190
47,0.16979877159466264,0.5071244464802885,192
48,0.2147249060941976,0.4866853796772593,194
49,0.23588946787235981,0.45911987396949794,189
50,0.28447233286758455,0.48291740031796004,196
51,0.29673663269540596,0.43596412271024204,183
52,0.3077530094481801,0.4347316847011113,190
53,0.32299248598380187,0.44641452729105163,193
54,0.3195626444849588,0.42830054988452804,192
55,0.366392833840748,0.40922689244236793,192
56,0.31044389474241235,0.4104618296285259,192
57,0.31345158567175374,0.4618066882456897,189
58,0.2660350683126101,0.4406803948929924,189
59,0.32696339249188894,0.46630943427229166,190
60,0.29915745115673975,0.49765773613026604,197
61,0.26642929576401964,0.5297925508498657,184
62,0.3020660533748938,0.5779192350810833,194
63,0.3557556202672307,0.6454872176599923,194
64,0.3608949707674752,0.6758115371143608,187
65,0.31284470371125,0.6417592590136162,193
66,0.3100957390876568,0.5507134132478043,190
67,0.289479718260262,0.530314278883721,190
68,0.26702592920790974,0.48746114122752265,193
69,0.31005586283847425,0.5411750084095263,188
70,0.23517557059630897,0.4873884445053394,192
71,0.2425942144546518,0.4686609956888403,192
72,0.2897335139712053,0.4756433080263963,192
73,0.28494230647935886,0.4045128015339676,192
74,0.2928180035967997,0.44130987398494065,187
75,0.25486775181786286,0.47039716064417436,199
76,0.23916852657409376,0.481967824686534,182
77,0.1823177331056162,0.48621170204787595,192
78,0.13359008291682778,0.5114452931252617,195
79,0.11160542393773419,0.5881884882997432,184
80,0.11414632591583564,0.559982112409182,196
81,0.08522558425843223,0.5872308743260943,191
82,0.13282919636725415,0.6628116214488912,190
83,0.10828584960256989,0.6736627863733722,192
84,0.06364058101470929,0.7003621268035787,190
85,0.10449075364973089,0.7725030012632497,191
86,0.1173481744745006,0.779878419034544,189
87,0.11381260980681092,0.6120937836420528,191
88,0.2601657514729671,0.5440154123722115,191
89,0.2393501593736774,0.4621542189507481,193
90,0.2815420947109517,0.44520922446570343,192
91,0.3379546990504338,0.4467947047237347,192
92,0.24813611805121147,0.5643424376931416,189
93,0.1880428478916866,0.5315274363542309,188
94,0.0022610644604201054,0.6691095496617632,190
95,0.016109199662660067,0.7120321573919345,195
96,0.15485085497833498,0.9380527080063739,190
97,-0.005507149003813253,0.7922228636732821,191
98,0.16708564925095953,0.6445747064232399,193
99,0.3915668934619554,0.710443318675019,193
100,0.3522464982481236,0.9795762291334298,204
