phase_bin,mean,std,n_cycles
1,-0.13710863844202184,0.7639826024565047,204
2,-0.0852035811604941,0.6416253153785302,193
3,0.06994197444970875,0.5605688958176037,193
4,0.20433081996357869,0.5396179183270382,192
5,0.14135340210728528,0.7664729091939603,191
6,0.49842922614175744,1.1647803023590737,193
7,0.7047885053454017,1.3653371133754189,190
8,0.6333950070759677,1.2190441260241967,189
9,0.6119977561100703,1.2334763331463883,188
10,0.5064935139115719,0.9511487657583194,194
11,0.46541010614816947,0.9451257712588276,190
12,0.18715009898820087,0.7330872082412433,194
13,-0.158466514654951,0.5548979929390347,190
14,-0.06951195067149833,0.7705288124487872,191
15,-0.10356012886163392,0.8388811870227567,191
16,-0.13436873371126523,0.771761251038325,190
17,-0.2648698901131605,0.5733881264581793,189
18,-0.449450329514311,0.6557917449909699,192
19,-0.41394564359774305,0.5888372942968694,190
20,-0.4817166677168979,0.6051256370511229,194
21,-0.37534046594168524,0.5967120827799239,193
22,-0.3125998250589439,0.6825439059272601,184
23,-0.17174025262654097,0.6863498168599683,195
24,-0.12656173333263204,0.5903714151803582,193
25,-0.11607628159196415,0.5580377020552859,191
26,0.10086755967315283,0.6826275156464566,189
27,0.06514928323597174,0.5711738714206616,187
28,-0.045105068140806996,0.5593211721655404,193
29,-0.05688972885023312,0.5141929179516244,191
30,-0.08760219815483036,0.5258231833261465,194
31,-0.11549569288368836,0.46694935402376303,190
32,-0.15596331069261699,0.42291383535197563,189
33,-0.18534216018843017,0.4593331765658253,192
34,-0.1655039197093017,0.4136362378292044,190
35,-0.1430299844394576,0.4800460255712399,192
36,-0.0887944274943906,0.46756976148083385,192
37,-0.11953721338166592,0.4644067876712278,186
38,-0.15913595852844356,0.468040725920358,194
39,-0.18764503383062808,0.4636751164911037,194
40,-0.2110041474780606,0.5220306529960881,187
41,-0.1923443319573618,0.49532512188602834,194
42,-0.1740341076539692,0.44651076744057794,190
43,-0.128415091291948,0.4504235199039186,189
44,-0.12690481925968117,0.42748628752115747,190
45,-0.12267784594590843,0.4134777483526467,193
46,-0.13223618672509835,0.42471352868092765,190
47,-0.1129577398298387,0.44023056981676845,192
48,-0.12007956965292334,0.47482056447844345,194
49,-0.06988852400492368,0.5228195982834047,189
50,-0.09687398795090968,0.48751495120165655,196
51,-0.09210176897805986,0.43150298900926826,183
52,-0.10973781602103778,0.4695083213245953,190
53,-0.17862681830060267,0.46828701574307674,193
54,-0.18449802700640572,0.42768266088643364,192
55,-0.21963507070817093,0.40065778241694017,192
56,-0.16371124739905515,0.4279393154784971,192
57,-0.16143007796667969,0.46123101826060775,189
58,-0.1701125906960734,0.42340273251052557,189
59,-0.1580400052577176,0.4330105842899117,190
60,-0.18381297222226284,0.43690951199670913,197
61,-0.19346694206541484,0.3783548544199127,184
62,-0.1749047144648167,0.36785945814364196,194
63,-0.22972985927671002,0.37929732194009597,194
64,-0.1864114331696709,0.3829155418390216,187
65,-0.2088581579594243,0.4041763026125342,193
66,-0.1930137758308544,0.3984536812933523,190
67,-0.1737142256060442,0.3930603446942461,190
68,-0.201195353115348,0.46595131887953023,193
69,-0.1241222991761347,0.4305853625855705,188
70,-0.17869461137998802,0.4735435300703224,192
71,-0.16845949654794234,0.49024178920068906,192
72,-0.1479892668838509,0.5051304927375435,192
73,-0.156852665295107,0.5474933023699708,192
74,-0.09963273642508874,0.51217638913747,187
75,-0.1075816931385414,0.5245372715435953,199
76,-0.11863592690727474,0.4941026769699805,182
77,-0.07592139646851863,0.5107260434900907,192
78,-0.06296395212444422,0.5682712927002951,195
79,-0.02390627680660272,0.49325272677636883,184
80,0.0614785061137472,0.5888111112112993,196
81,0.14909644574554043,0.6075973151866956,191
82,0.13902378991532865,0.5599922795257758,190
83,0.19377915518827382,0.6843981907487428,192
84,0.28489000376914314,0.7288788519907837,190
85,0.2629085803187974,0.7139002708225081,191
86,0.288559902749306,0.7651103461962688,189
87,0.3893429367133196,0.9332590313038214,191
88,0.530414827656872,1.0019103157717273,191
89,0.530025174882401,1.0197210339395035,193
90,0.46854450593721264,0.9414008553671761,192
91,0.3404472955650115,0.7573971714910885,192
92,0.1828690687840935,0.6839052868279022,189
93,0.21360281475549553,0.6052573380047899,188
94,0.13497195064161152,0.5747344863037812,190
95,0.15552368871214542,0.5598481567805953,195
96,0.2586596758392905,0.47870015291574447,190
97,-0.08478589976613866,0.7296478896186814,191
98,-0.2802377099316422,0.8623795677388407,193
99,-0.21862036139091887,0.8194306856037898,193
100,0.12596298499122616,0.6595711504428323,204
