phase_bin,mean,std,n_cycles
1,0.3524397339776291,1.5022919930610967,204
2,0.4008100612967387,1.6441301482263533,193
3,0.20194081270932868,1.1436305170900236,193
4,0.06371932492647282,1.22885854615571,192
5,-0.12398136452423573,1.3646142865914168,191
6,-0.23648450678127886,1.8870058458636014,193
7,-0.32837509434161755,1.4371205865788212,190
8,0.04086163590581562,1.074268070500987,189
9,0.09546200517997004,1.0159159775942297,188
10,0.1280589860264214,1.5029717285498485,194
11,0.014657646014487576,1.7949461876462907,190
12,0.12193805924957057,1.4132251402807734,194
13,0.16515658264442143,1.1359052579610975,190
14,-0.11666126952222926,1.0903377347519982,191
15,-0.36614615123445116,1.3225821874243944,191
16,-0.5061916544321757,1.5335072868654567,190
17,-0.594112171369056,1.297667266266108,189
18,-0.5913586717010785,0.9442126856551957,192
19,-0.5836083880770446,1.0593537960015273,190
20,-0.5081225002643299,0.8277559476687564,194
21,-0.5019412133537946,0.8613247663313115,193
22,-0.47784408688150704,0.7558125608288935,184
23,-0.45648800232243913,0.7081288084098344,195
24,-0.28481251280027514,0.5308176519592082,193
25,-0.15717248021826524,0.45334627273285144,191
26,-0.22230896375789994,0.5975290892158266,189
27,-0.12742450641918,0.5868639971693422,187
28,-0.09408062867602264,0.5071861732114391,193
29,-0.028719854224151024,0.5079691909998217,191
30,-0.01864580736713175,0.5272569131699586,194
31,-0.1027778939546169,0.5604376202290441,190
32,-0.15269086519456815,0.6185399762687187,189
33,-0.19873083635372932,0.46499846611383194,192
34,-0.1564051104898646,0.5144857793090392,190
35,-0.23224784668825912,0.5738663793850098,192
36,-0.286313976454078,0.6221871814863508,192
37,-0.298544982241477,0.6059474354085946,186
38,-0.25173464801462775,0.5300130736328931,194
39,-0.20957923295470363,0.49275470168399715,194
40,-0.158867507710855,0.4109465623142571,187
41,-0.13375872062210012,0.39544588392315233,194
42,-0.07818195253619502,0.362407446753386,190
43,-0.10871087279793645,0.3236980358330291,189
44,-0.11295900085322594,0.3646843210273224,190
45,-0.1262331419206937,0.3367963187577286,193
46,-0.10832206107762182,0.35148676363978987,190
47,-0.11553682855909281,0.3596767533307358,192
48,-0.13168550348800548,0.32769833908642765,194
49,-0.1794436716293856,0.37317675475096695,189
50,-0.138123759418034,0.35746237532803565,196
51,-0.1442051886378712,0.33398985700417533,183
52,-0.1559010952968641,0.43798275736635756,190
53,-0.18617177772248794,0.5651855096963665,193
54,-0.1521461821090108,0.48945768483353397,192
55,-0.18516442740880057,0.3904275242146532,192
56,-0.22237229900040656,0.38040432402997115,192
57,-0.21714080796935561,0.4766603943072893,189
58,-0.28797494318881545,0.4250224078668145,189
59,-0.292892424754386,0.48220805643357595,190
60,-0.269042528159715,0.47947985685864386,197
61,-0.2307342032350046,0.40191848582562967,184
62,-0.24156601159502072,0.3860214658568033,194
63,-0.23189099830257912,0.435542849137977,194
64,-0.18600886061734972,0.37855587236788507,187
65,-0.17346955026780306,0.32415016983672074,193
66,-0.10872527323202216,0.32834262395822794,190
67,-0.12666821410283813,0.33593286225431224,190
68,-0.08981347414046442,0.3232138159742151,193
69,-0.12244949970014929,0.42600965246686806,188
70,-0.0710469874602824,0.3298591420470867,192
71,-0.04700651278581314,0.3509534817671704,192
72,-0.042318121459256876,0.3129578497523162,192
73,-0.05189441012626539,0.4728565184541216,192
74,-0.04856095269087455,0.46419590837069663,187
75,-0.06948452453235814,0.5927754699805677,199
76,-0.053463053565194985,0.4493140585238849,182
77,-0.06506180704340209,0.419613840734428,192
78,-0.034345554211643196,0.3787797840549735,195
79,-0.025260357271147935,0.4077354375209115,184
80,-0.022328840332267792,0.4684390054984461,196
81,0.018309249281890816,0.37137008707026875,191
82,-0.021833053958744898,0.4666337394796162,190
83,-0.006107779937130904,0.5311588173441362,192
84,0.040160814780310236,0.6435947746446103,190
85,0.10755424314197018,0.6198968655697104,191
86,0.18678603464118354,0.6464063305832506,189
87,0.18967969254804323,0.6808681953830192,191
88,0.12239498369398337,0.556660157779505,191
89,0.07055214747493208,0.4759173178034742,193
90,-0.06466279501561006,0.5113688945303786,192
91,-0.07064797543249039,0.6238918134737328,192
92,0.002657817625792237,0.9191323163641351,189
93,-0.12448700792717236,0.7444670980359364,188
94,-0.06487595144098318,0.7957365867109384,190
95,-0.2171298948198776,0.7350244107009283,195
96,-0.6361267711876912,0.9817604601173587,190
97,-0.6092134154106673,1.0753828414452162,191
98,-0.5826202049214416,0.9550540517796325,193
99,-0.3915906123412199,1.0966202027433989,193
100,0.16926974192533875,1.5317603175373,204
