phase_bin,mean,std,n_cycles
1,1.4133788888125705,1.1798438997416294,204
2,1.4246414778174372,1.1980027591838658,193
3,1.323675505738445,1.1420481636670072,193
4,1.262050813081468,1.2226703705482456,192
5,1.3251855301168065,1.1690319062162637,191
6,1.4727503188259887,1.1673666898423039,193
7,1.4371179297219618,1.2090321136868505,190
8,1.3633102380602764,1.156424167893094,189
9,1.369305704369483,1.2066184718619744,188
10,1.3896823587343166,1.1594199036239667,194
11,1.2579843971332623,1.1132523420344298,190
12,1.3220709835573,1.1204402671124218,194
13,1.258874109634479,1.0768032997512746,190
14,1.3066320595913818,1.0616198742650353,191
15,1.2982206088758652,1.0540623523217583,191
16,1.2962406827342867,1.064912428381503,190
17,1.3102896390879175,1.0790070544632895,189
18,1.216736715242805,1.0835209689420007,192
19,1.2072357863392629,1.120755919409407,190
20,1.1749046819220967,1.0686832816095024,194
21,1.1947728581054806,1.082634536552956,193
22,1.166122371743993,1.0674955441176188,184
23,1.2589612225036346,1.0235478636734496,195
24,1.217350805249836,1.0173333914657121,193
25,1.2111621580589282,0.9934449890923341,191
26,1.1733308626835126,0.9851391969848451,189
27,1.099136248407063,0.9371886120627394,187
28,1.1755307853814165,0.9583853208600184,193
29,1.121494217518896,0.9379965642598175,191
30,1.158315409121032,0.9058300097088419,194
31,1.115629755664649,0.9184493808685192,190
32,1.145282303230018,0.9269987230468368,189
33,1.1010540954369368,0.9310625455996429,192
34,1.1440279431234108,0.8896443248914214,190
35,1.063114616536487,0.9439508690737916,192
36,1.0412308910571848,0.9774487143684397,192
37,1.0384290447339934,0.9356462048155191,186
38,1.0952900324580683,0.9136765581346219,194
39,1.0426841173335977,0.8770199249473962,194
40,1.0002243677767468,0.8412791246189222,187
41,1.0274081440239071,0.8823356229383312,194
42,0.9903289946895717,0.8471037283660504,190
43,1.0045386862150272,0.8716274400245,189
44,1.035255324192092,0.8594312424478279,190
45,1.0188308059042364,0.8514715516816275,193
46,1.1172198526253467,0.9059004869607664,190
47,1.0317457684576952,0.8410018934352825,192
48,1.0867087202501875,0.8719772636570905,194
49,1.0061801766502,0.8477551640662524,189
50,1.0253546224636592,0.8756051674584773,196
51,0.9504493776007842,0.8887453157946552,183
52,0.9716405525974628,0.8610870695236291,190
53,0.9723050853586871,0.8646030330314128,193
54,0.9360645057865696,0.8344707458805608,192
55,1.0503788136279801,0.8822275475275582,192
56,0.9794356853570828,0.8542680550254084,192
57,0.9780931870928152,0.8404577388972695,189
58,0.943592400811411,0.8126086318871992,189
59,0.9459373363978011,0.8025426260111788,190
60,1.007822676432515,0.8321858423649263,197
61,0.8860398094754776,0.7966670264372598,184
62,1.0056849317169452,0.8201311572931052,194
63,0.9950875560741592,0.8754191508855762,194
64,1.0070175857801729,0.8830359143341535,187
65,1.0049046473131151,0.8109436295321998,193
66,1.0249118991457111,0.8346584564238342,190
67,0.9911350400014729,0.8403035987400228,190
68,1.0036796836840522,0.8170425356375137,193
69,1.0124883375880993,0.8386753561928549,188
70,1.0724390013188525,0.856711602059273,192
71,1.0477181315970172,0.8342579011927919,192
72,1.0360738278652175,0.8612148311267804,192
73,1.0457429793295732,0.9112215527835408,192
74,1.061857744256335,0.8497002810175247,187
75,1.1012990069912842,0.9080148814547735,199
76,1.0380192263897012,0.8207775224951688,182
77,1.0928380937619315,0.9056351309406716,192
78,1.0868964937911063,0.9149142932739848,195
79,1.1083603745751676,0.8933961306161797,184
80,1.1531015738258235,0.8897420315767626,196
81,1.1140412575998697,0.8358648603973908,191
82,1.1656459886558428,0.9780037497909908,190
83,1.1205585076869438,0.8966420752301311,192
84,1.0973193760494186,0.9179097993101166,190
85,1.096114173370311,0.9116411116528707,191
86,1.050627644882245,0.934139009570894,189
87,1.1188779885674214,0.9892485661483493,191
88,1.1904480211267594,1.002848754247417,191
89,1.1862328470780883,0.9790851380859545,193
90,1.2301698100602128,1.0022601583186475,192
91,1.276813428164845,1.0395391547068853,192
92,1.1440598449515094,0.9712129407187033,189
93,1.0739129970494292,0.9245654289891546,188
94,1.2220858529041911,0.9785923639753695,190
95,1.2340636327653474,0.9512534542942487,195
96,2.353983301755585,1.3574933037191745,190
97,2.3557663338794534,0.8848977013080753,191
98,1.808341596167108,0.6472528632094751,193
99,1.5228439170566697,0.7887745834800609,193
100,1.9309470715609476,0.7559697502720814,204
