phase_bin,mean,std,n_cycles
1,1.2701737827860324,2.98139473604355,101
2,1.2240009060157853,2.968354092555862,85
3,1.3654439094461643,2.9369339770636143,87
4,1.2742628642563327,2.915041459283183,89
5,1.3762922873732333,2.8477625174445698,87
6,1.3913572710785505,2.817205739543778,83
7,1.1465414046771853,2.7906848915342928,88
8,1.2048616593017412,2.7587565853849902,89
9,1.1127935751050946,2.6875156155445086,84
10,1.0906160487291756,2.6553655742478206,90
11,0.8997062766224287,2.653270040299909,84
12,0.9424340628712835,2.569647151355278,85
13,0.7769000691315316,2.5620899115177664,85
14,0.513339992463886,2.524055372136819,91
15,0.6414530859297115,2.5237416492125733,84
16,0.3867661525051548,2.5619121735057986,86
17,0.20469988177315088,2.4768306911419122,88
18,0.117712544323603,2.465375744376333,86
19,-0.1338890216508211,2.5051933063868432,88
20,-0.13780586640105152,2.484943172468174,89
21,-0.32660948168271925,2.4911304527224294,84
22,-0.5249071629116177,2.417329270334712,86
23,-0.6460495756132242,2.4925391580651066,85
24,-0.7197563424300024,2.366857860606577,87
25,-0.8573880993715933,2.3544314003200135,91
26,-1.0526594285148334,2.3173870242278913,81
27,-1.2872854772962417,2.216234337607236,88
28,-1.2590537057416344,2.2946085887428223,85
29,-1.4303094675321204,2.211504823888677,83
30,-1.4901691063873566,2.2327661381947435,93
31,-1.6266628423705918,2.1903848790703164,86
32,-1.7285340507485738,2.294717507618443,86
33,-1.8039319659966302,2.274222704354456,86
34,-1.947371945917824,2.3986304868247412,84
35,-1.95588150854252,2.456764546494888,89
36,-1.99858576367167,2.502402200710307,87
37,-2.1876126859255978,2.638724441864119,87
38,-2.134155400478206,2.6503620710064215,86
39,-2.141258926344793,2.7885646355176785,82
40,-2.3172186046903995,2.6527909701678376,92
41,-2.1046095873478388,2.813363880516593,87
42,-2.3076862956023034,2.7011306368066994,86
43,-2.313073003118112,2.6771853532931904,81
44,-2.286313820925552,2.5282300782821894,93
45,-2.258286407262329,2.5622807201340296,82
46,-2.0890915633983345,2.45160528668741,88
47,-2.1723233473907007,2.2641788874919606,91
48,-2.1519700117242992,2.1744176720348087,81
49,-1.8676746169913991,2.133991042831412,88
50,-1.859690406460932,2.060803168934282,90
51,-1.8248769608593878,1.9091915819845175,79
52,-1.4437035736588149,1.980081125683123,88
53,-1.5309024679509469,1.9698104510823786,81
54,-1.2068748128171696,2.007422205891423,91
55,-1.00171240246368,2.1211847726898867,89
56,-0.7694052504157758,2.200641613405363,81
57,-0.5839033031003871,2.3647128422820463,93
58,-0.25794177009371655,2.4278047251683406,81
59,-0.2143434305779166,2.615603628246667,86
60,0.10734774201957158,2.795436410337327,93
61,0.3436686454837186,2.8657760705962154,86
62,0.6395808277397873,3.0121025757671758,82
63,0.7576751789967235,3.1845220576368223,86
64,0.9031869609312457,3.3232265521584914,87
65,1.0555392060044537,3.381837078276345,88
66,1.4147933413345612,3.4154801235779164,88
67,1.72270572297415,3.419893663814701,84
68,1.5424729920759184,3.556679676438051,86
69,1.7558961118191696,3.5538091341968854,86
70,1.8688954861209175,3.563101371153273,90
71,1.9991297529557173,3.4471186329116144,89
72,2.1361948175476906,3.377872263812343,83
73,2.3559223439908252,3.1970127994668966,85
74,2.1044949682622294,3.3577065931123093,88
75,2.274456335625148,3.1272289048382174,86
76,2.344240528709491,3.008324947516317,86
77,2.135551827473326,3.020009877058527,87
78,2.3247580526470593,2.7820134519321735,85
79,2.1867542313051205,2.729178750611898,86
80,1.9090794175503312,2.7790077519757537,90
81,2.1378756535802874,2.5390244853653994,83
82,1.8928640027674561,2.5636775987753,88
83,1.721945156458153,2.4650510256827,86
84,1.5899695099050286,2.4543180344584874,88
85,1.3537210108574442,2.438676910093,87
86,1.3481337925646537,2.2587188082040863,83
87,1.0654586678039846,2.351050891810924,91
88,0.989006356434407,2.202380524206783,85
89,0.8389291422034599,2.108894245548779,85
90,0.45537557326309164,2.155597748777541,88
91,0.5035880806542982,2.077833649881517,86
92,0.2905623987610633,2.0985313951775564,84
93,0.0018490152631998246,2.10360349865686,89
94,-0.027575100677688372,2.112880049422228,88
95,-0.2089495109234327,2.074033981621934,84
96,-0.3134741547323582,2.135917076607611,86
97,-0.44801820932405195,2.2019530286782634,89
98,-0.5553010495098203,2.198396499658192,87
99,-0.6603692302836003,2.268929708649987,85
100,-0.7619518458363632,2.3485127097796084,101
