phase_bin,mean,std,n_cycles
1,-0.23057708995519774,2.1261286204172336,101
2,-0.047907096838193546,2.174660792480691,85
3,-0.07177150690228477,2.1485816876484067,87
4,0.18628802997730648,2.1525285910938528,89
5,0.13520724367346282,2.187855133620926,87
6,0.34581054715301685,2.076254022792497,83
7,0.38435556939487214,2.1836563263764437,88
8,0.4810384500230513,2.141620312932731,89
9,0.47069140516224206,2.175351709132316,84
10,0.5675190455622133,2.1219615497647513,90
11,0.6916809330813758,2.0883830296615464,84
12,0.5906440286115553,2.138976653710672,85
13,0.7738521998815828,2.0834399504452885,85
14,0.7409075089182394,2.1576873759204456,91
15,0.8273616267236056,2.0654956431726017,84
16,0.9025984904233267,2.0193294158663346,86
17,0.8297136719493193,2.077829888280657,88
18,0.9088928761514565,1.995997190091254,86
19,0.8201515507802276,2.0530499754073683,88
20,0.9253327807306282,1.983281493487501,89
21,0.8648997291563425,2.01212288663174,84
22,0.9331489254702693,1.9155919451900902,86
23,0.7749197923087693,1.9873333187043019,85
24,0.966390305632132,1.9453583175248896,87
25,0.7897286716230634,2.027156841140543,91
26,0.8293025344078551,2.0085873926804125,81
27,1.069085114464148,1.8767908306595504,88
28,0.700120378986663,2.1591588396074446,85
29,0.727933727026135,2.1742003121192885,83
30,0.836959919934883,2.1339993537776025,93
31,0.7169741142314832,2.242405909472226,86
32,0.7300789718434619,2.146899803564304,86
33,0.6330846205145657,2.215634699769598,86
34,0.5142733413409114,2.214104946271029,84
35,0.5557145727588949,2.1427415560838483,89
36,0.4630826889857362,2.100574144050949,87
37,0.47763068672699327,1.9243757324333803,87
38,0.2544763551922095,2.0031888093076193,86
39,0.32316040083494696,1.9471788362876745,82
40,0.10056547326932419,1.8820395079593546,92
41,0.022532020810994088,1.9191578992665894,87
42,-0.005343178266164287,1.8401714504107554,86
43,-0.2175603540715988,1.9473799598707695,81
44,-0.35908700230409235,2.020690336765693,93
45,-0.49670668393938455,2.057565181889738,82
46,-0.6735932388344744,2.185866043307437,88
47,-0.818875224276294,2.210784423669175,91
48,-0.8363586934805374,2.265824998782241,81
49,-1.3035617750376967,2.273483944735339,88
50,-1.2595819322069453,2.36008995943106,90
51,-1.3591960282681077,2.3800062734291623,79
52,-1.7290366692308161,2.3021168812725747,88
53,-1.5767984707047047,2.3569355156807807,81
54,-1.833490070145658,2.2707798626540874,91
55,-2.011068657818706,2.0681180370775003,89
56,-2.0827805607076146,2.0758411800147756,81
57,-2.089048112372483,2.034516577056557,93
58,-2.181125824930395,2.022951889049219,81
59,-2.0615106336331674,1.9632974839153754,86
60,-2.0232078343671085,1.9344205460507768,93
61,-2.0918073781360937,1.8154355516247596,86
62,-1.9874564559994192,1.860363068594861,82
63,-1.866531418630723,1.7019568236387081,86
64,-1.724960388254466,1.6650073368549232,87
65,-1.5992972307172615,1.5927141585697977,88
66,-1.509971365703503,1.502535070536552,88
67,-1.300274745247576,1.524319974916582,84
68,-1.1004997633719933,1.494209058528668,86
69,-0.9009820991519631,1.5302618114805866,86
70,-0.7359408831407731,1.720236460000721,90
71,-0.5909659875536869,1.8146494993052698,89
72,-0.4200149058784493,1.9846932477895616,83
73,-0.3414723665081147,2.1550995103709094,85
74,0.06037734123837225,2.2024631142771764,88
75,0.033319758074358205,2.3747922526037994,86
76,0.17018829373334496,2.4856147742273804,86
77,0.42128569957338396,2.518450836465683,87
78,0.4000595926339489,2.632048010147158,85
79,0.5792785971422472,2.654311705586713,86
80,0.7090005209465632,2.637839250972148,90
81,0.8487147132665663,2.671441178130536,83
82,0.7641023049493497,2.6504679966148386,88
83,0.9718958035349149,2.5973494906483197,86
84,1.0348939685680316,2.5914640013923544,88
85,1.1268337798130883,2.60030629438045,87
86,1.2863857690920384,2.5304571202808104,83
87,1.1108722843167085,2.6147955599691377,91
88,1.2403454240550886,2.582394008821293,85
89,1.3436458434592542,2.5844142107767967,85
90,1.2970052241477914,2.5549604588812067,88
91,1.3817235505350018,2.520894429841163,86
92,1.25993053400148,2.5889858433941075,84
93,1.1871402204928094,2.5925833454008713,89
94,1.2175860229253206,2.543452232532807,88
95,1.4027181751831652,2.444144489220074,84
96,1.3553322724707184,2.4082489809835543,86
97,1.1321413233909683,2.513780836839186,89
98,1.2405711066975644,2.4512523566999005,87
99,1.0524963398001734,2.4884731258630275,85
100,1.1307181443632297,2.3751988887401185,101
