phase_bin,mean,std,n_cycles
1,-0.18646296789768996,1.405899801365121,101
2,-0.257985878473833,1.411849876969385,85
3,-0.15913522090917737,1.3271326001501114,87
4,-0.2822896065193595,1.409168097488509,89
5,-0.19916062451859626,1.322206656744588,87
6,-0.25486504692330886,1.3611038671914466,83
7,-0.35671383581593274,1.3445105980645842,88
8,-0.238597172888342,1.4463397755154574,89
9,-0.15574962814975124,1.46651843317221,84
10,-0.3114987990332756,1.455958653057042,90
11,-0.4582278234958041,1.498082970848447,84
12,-0.27155735588722435,1.5127333032620138,85
13,-0.28994539606484493,1.5907155354432534,85
14,-0.1905520309678317,1.6389494773706736,91
15,-0.002062248184904985,1.5978770304725247,84
16,-0.2316194447970904,1.688967434498169,86
17,-0.1604555541332975,1.6017433671814947,88
18,-0.08578136232237246,1.6688784684814468,86
19,-0.06495621060750875,1.82496213712696,88
20,0.14109112952021316,1.8824998819403247,89
21,-0.04477162224749348,1.9408350559964571,84
22,-0.23034195246028166,1.795569782863451,86
23,-0.20170199907848005,1.7575495980152722,85
24,-0.34179078300353083,1.7023006594805452,87
25,-0.269264135441286,1.7570155733553228,91
26,-0.009553827130379156,1.8267620661447868,81
27,-0.15084953185912423,1.9170623872786519,88
28,0.1818634009902346,1.8799791841260396,85
29,0.19114839907750258,2.0081121863970135,83
30,0.23388726013679245,2.086826979264525,93
31,0.28496493784505883,2.1865689100694667,86
32,0.4554010720228337,2.223086621220492,86
33,0.2933018401866335,2.2053060623051364,86
34,0.548041288277186,2.0263012792310575,84
35,0.5794286446516304,2.1009098579750725,89
36,0.5639554999401696,2.2244101051052927,87
37,0.7602190741089944,2.260149785434948,87
38,0.7423562071236174,2.315205846291715,86
39,0.8056824678595667,2.144011760834046,82
40,0.5702477980815754,2.255629887343938,92
41,0.6026790229870487,2.2578660294346413,87
42,0.565723918901346,2.2873776293458414,86
43,0.7623234076633305,2.202862460873359,81
44,0.6135774517120368,2.377221325870399,93
45,0.8223538045546226,2.3459254669112695,82
46,0.7722912173472782,2.490314101412917,88
47,0.8823376279956465,2.687115593547227,91
48,1.0522666974343469,2.689246626733082,81
49,1.2293088905461282,2.650116263039584,88
50,1.2632219106871592,2.79193920054757,90
51,1.2182484001304588,2.879502546837297,79
52,1.435378695703269,2.70998957025059,88
53,1.401338784818285,2.7918537655906346,81
54,1.4199763102740273,2.855249664786744,91
55,1.5135062347528587,2.6532673376809477,89
56,1.6009807306536463,2.5910755551539304,81
57,1.3833617879434215,2.6356332334247643,93
58,1.5852484148681505,2.4337463528924044,81
59,1.4179868046435786,2.490892867277275,86
60,1.376399502309466,2.4064276727777885,93
61,1.3384075697567064,2.2522415648407814,86
62,1.3007750703126235,2.1299606906670756,82
63,0.9052617769446843,2.0703617852678615,86
64,1.1880298425905815,2.1469803565554515,87
65,0.9880597520870128,2.13850351185833,88
66,1.0833999480666796,2.0586231500328345,88
67,0.9081419319037023,1.8104710043916468,84
68,0.5045623922217568,1.8748288471309633,86
69,0.44402854432646605,1.7548562035261805,86
70,0.1906833682971224,1.7663009630419082,90
71,0.21976623196073594,1.7947440208715515,89
72,0.04768454670190641,1.7899952845680855,83
73,0.062229963777210406,1.7672686711558545,85
74,-0.41827766909438857,1.8502972172825092,88
75,-0.40186269028044597,1.8453475260451797,86
76,-0.5383820353378984,1.8387501212544783,86
77,-0.8402313070461042,1.85195023047183,87
78,-0.8212981704606442,1.710475126318739,85
79,-1.0102478619722537,1.6190836296934321,86
80,-1.1826994546321157,1.613247581947212,90
81,-1.069780159228085,1.6681737318445338,83
82,-1.034594310352225,1.6421685900394996,88
83,-1.1388745811072445,1.5104193123515985,86
84,-1.1204459133150513,1.4319893909883659,88
85,-1.1904856277059885,1.3144247488366285,87
86,-1.1684817956227873,1.2769569488806818,83
87,-1.0905048655466858,1.211700543536281,91
88,-1.0973475238640056,1.1931486275536223,85
89,-1.1108342195349512,1.162088754528598,85
90,-1.1697924684654892,1.1691881257549321,88
91,-1.1343843852699467,1.1712002132005994,86
92,-1.0464371539623447,1.1179271205678116,84
93,-1.1510676407530065,1.1499473396873279,89
94,-1.055141340141827,1.1157701655023489,88
95,-1.1103676723857645,1.0269581883999772,84
96,-1.1856975211500538,1.1501891084683316,86
97,-1.1423166263875228,1.1930169698185793,89
98,-1.1350064485834916,1.1895077697537988,87
99,-1.189777219340569,1.2560126988673865,85
100,-1.3163971441086917,1.2746134011914843,101
