phase_bin,mean,std,n_cycles
1,0.05192595316446722,1.6570073801970195,101
2,-0.05576356518608335,1.5784722980787411,85
3,-0.07630990009037797,1.5077253744185815,87
4,-0.1589825035352027,1.5152236650627122,89
5,-0.03631155244863236,1.4763083055873858,87
6,-0.12326705588514647,1.533736823863563,83
7,-0.402811668388893,1.4103243822183076,88
8,-0.5772101649528358,1.4193383447592627,89
9,-0.6258521743087699,1.6789757005458275,84
10,-0.5952224068305143,1.74181668044502,90
11,-0.7180240177585595,1.6213890472717878,84
12,-0.6418252443905769,1.4531666464807782,85
13,-0.7973264641172922,1.4103882277904138,85
14,-0.8194398993255467,1.5787966671248228,91
15,-0.6288649166452404,1.7308407361015603,84
16,-0.863519827076017,1.7282172991869142,86
17,-1.1307781327767308,1.8615337681088306,88
18,-1.1489424262775858,1.9048638224333956,86
19,-1.2075790197231953,2.1856184875322104,88
20,-1.4138672568103812,2.26695261253101,89
21,-1.3150649187769579,2.4950361850050253,84
22,-1.3368519339327307,2.4987413795063467,86
23,-1.1623406232228486,2.4907279680610133,85
24,-1.4185111959624568,2.291202132481781,87
25,-1.2664758660747413,2.223164231198726,91
26,-1.1931522337638014,2.3037849722076444,81
27,-1.362644989998044,2.201221187471794,88
28,-1.0779025265579323,2.2374256327093196,85
29,-0.9627769577182369,2.2351964990796147,83
30,-1.017904172908393,2.0469908002653225,93
31,-0.6341092952939927,1.9896320488605717,86
32,-0.28226869731599735,2.05830253078631,86
33,-0.2587509480247397,1.901749152188444,86
34,-0.09155874005090342,2.0194548777670076,84
35,-0.006395200459773772,2.0456187018169723,89
36,0.0799319829545319,2.1322299979769688,87
37,0.31462782563148517,2.3264554481121356,87
38,0.4163752873501499,2.300681682987834,86
39,0.513094889484197,2.5038813296493987,82
40,0.6745650301452797,2.3975344859793406,92
41,0.86436092789031,2.4569297661906053,87
42,0.9906044584659516,2.3594630361967366,86
43,1.1174978010830556,2.3461194788145154,81
44,0.9891172751860487,2.288780917227789,93
45,1.215654447491627,2.1320655237385577,82
46,1.15447478522604,1.9362051503753102,88
47,1.1877697176745847,1.9498796837687398,91
48,1.2349971193659222,1.8816631596762146,81
49,1.373006095227542,1.8350920398718948,88
50,1.27878384256232,1.9011407539275027,90
51,1.1715054683790596,1.928546327577153,79
52,1.3598914397032793,1.9134304208637714,88
53,1.2450786111563465,1.959269548952244,81
54,1.1839837426670974,2.0759080805577033,91
55,1.1708230398889858,2.088278668957451,89
56,1.3623516615436675,2.0672789799380635,81
57,1.2881870320091147,2.0800630729455856,93
58,1.3039745444928803,2.1056091567471324,81
59,1.408807086206042,1.9798981314371809,86
60,1.3583904619699043,1.8033477950918209,93
61,1.6129411500541584,1.5179257913795936,86
62,1.6928722530468896,1.4266651912745338,82
63,1.536425049499673,1.1613199729403916,86
64,1.5805818058309018,1.2068654900694624,87
65,1.5283182019631445,1.240202147947367,88
66,1.6824774644210285,1.1795995731305644,88
67,1.7389037221162122,1.2212097694475694,84
68,1.694522446405653,1.3433739576088104,86
69,1.7121656018464904,1.2825376320935813,86
70,1.6317267909388258,1.3093721620095593,90
71,1.5827833810578833,1.2916735266790422,89
72,1.459726932938432,1.1846923724501675,83
73,1.478954216833742,1.1089096546858224,85
74,1.2484021416340096,1.1359075355824295,88
75,1.1527359297126014,1.0215690791143242,86
76,1.033291595165781,1.0451914441408234,86
77,0.7824342171090765,1.0444434353824537,87
78,0.6744237455462847,0.9758072304252681,85
79,0.47722436920058275,1.0728045306165317,86
80,0.18166841252560306,1.0394738522882825,90
81,0.12863230825738337,1.1416490829527148,83
82,-0.08151733415749246,1.2658805530277735,88
83,-0.2778320766030195,1.3653799566837415,86
84,-0.4523608312960088,1.5022456594641527,88
85,-0.631296815209099,1.55076504527386,87
86,-0.8715711694916998,1.6250416297272292,83
87,-0.97775102406098,1.669614549973872,91
88,-1.1607681218482433,1.719041013255996,85
89,-1.31888727322631,1.8529321794410283,85
90,-1.4092236855326448,1.8180060466967363,88
91,-1.4722129950936982,1.868593323476412,86
92,-1.533485432308947,1.9174510912371612,84
93,-1.533462204603633,1.892160463210231,89
94,-1.532512807605057,1.8462375678583176,88
95,-1.7223140721380925,1.7828755745052298,84
96,-1.6552876409723523,1.7860100901458391,86
97,-1.4652996366544713,1.7651107417051717,89
98,-1.5450410543161026,1.7168447573090704,87
99,-1.3349738316097366,1.6667034481548662,85
100,-1.2599150214136747,1.5725261339177496,101
