phase_bin,mean,std,n_cycles
1,2.5195748805064153,1.1412514989295084,101
2,2.556131639731889,1.1507608014445079,85
3,2.3580329298804092,1.162237535000239,87
4,2.4187070759156346,1.2426743409540373,89
5,2.2038586361574053,1.3236419520584881,87
6,2.3011401233403035,1.4174952700777916,83
7,2.2900034280725254,1.4760635073979622,88
8,2.4701356807789927,1.492260971150274,89
9,2.551402432662112,1.594423638095343,84
10,2.5945342192271728,1.5192421630565693,90
11,2.613081820759876,1.424788810220278,84
12,2.382432703065204,1.3536001942510936,85
13,2.494589822189053,1.362852513550891,85
14,2.5685273310986227,1.3765608958611906,91
15,2.4626755509293345,1.4209817379070582,84
16,2.6681617428590974,1.4717578806406124,86
17,2.7323929318625044,1.4072968364435885,88
18,2.8952072161179214,1.3172446406865164,86
19,3.2715000332348465,1.1823549464024237,88
20,3.4811633691993626,1.1809224661369473,89
21,3.6158184095176,1.3674403822050887,84
22,3.5912018230203775,1.3229946972994198,86
23,3.4250322167878027,1.1952909999103594,85
24,3.4158428103102043,1.1146404052254206,87
25,3.316474287474733,1.089524053296276,91
26,3.362834172760345,1.086015330624867,81
27,3.3756834235745576,1.2453953933779585,88
28,3.1955098367775334,1.4433861258721556,85
29,3.286269132927573,1.5834786099146136,83
30,3.2901310033363282,1.5935782139546442,93
31,3.223522598664526,1.6138007387752098,86
32,3.213597242322008,1.6040329347061484,86
33,3.045098629100169,1.647659655945585,86
34,3.036970244414518,1.4207181084213956,84
35,3.140152012077429,1.24635838117647,89
36,3.3276732715032846,1.1788933629528688,87
37,3.5292374584914397,1.2392578306936164,87
38,3.6031308860113778,1.377444731109188,86
39,3.757461857926344,1.378135842381763,82
40,3.8738468667732286,1.4643423389983858,92
41,3.947777917152751,1.4038566960117687,87
42,3.9842300755761584,1.2376105053702933,86
43,4.043514318366139,1.3574157208127213,81
44,4.063045294710196,1.3241571202762177,93
45,4.02607602002661,1.386893706929751,82
46,3.8596709810100545,1.5284018678470943,88
47,4.0073863169515915,1.4844440258017413,91
48,3.96312274294645,1.499287703586124,81
49,4.0005436207627065,1.573370608726063,88
50,4.189785242341349,1.4976194451546085,90
51,4.2865048864040265,1.5173764719856633,79
52,4.325301068023669,1.5986038192051184,88
53,4.436419199495362,1.4934373500492366,81
54,4.564112678313662,1.5705092858953116,91
55,4.410210298886248,1.6202959391943945,89
56,4.5039561460876625,1.642556869645571,81
57,4.369642599157398,1.6172413864128954,93
58,4.255468463305672,1.7396642789285566,81
59,4.207552062808645,1.560513805930651,86
60,4.010742843716025,1.5914948290503885,93
61,3.769577364641477,1.522692021886266,86
62,3.633712229416322,1.3478157387881082,82
63,3.215426990260657,1.10875451290168,86
64,3.3633442628863963,1.1395017693984681,87
65,3.3471605542513885,1.1402882319488197,88
66,3.441087307076839,1.1463464761517148,88
67,3.2823482639977835,1.1189237408649013,84
68,3.271270493226019,1.110107745343268,86
69,3.183314488528948,1.0694317227153023,86
70,3.0826360618728637,1.05686327409354,90
71,3.152634565708597,1.0629105127600775,89
72,3.1190718447679737,1.1577839505631722,83
73,3.1393748126754972,1.2499502473979947,85
74,3.1443260238424813,1.1805210928478553,88
75,3.0161319565279507,1.225603761096744,86
76,3.0727931953788117,1.1317255824535575,86
77,3.0432671382143988,1.0545938501790744,87
78,2.86040456929421,0.8737917769857737,85
79,2.7527811006037064,0.8038517476752971,86
80,2.670681276609829,0.7380184334694252,90
81,2.61423574021983,0.6513616246927275,83
82,2.668590231140014,0.7092849364773366,88
83,2.6486179666605607,0.6734827291844677,86
84,2.6616391294253665,0.6506017054643647,88
85,2.681069439842669,0.676693070452142,87
86,2.7528651071373806,0.6505206560105047,83
87,2.727131101622328,0.6501317642539374,91
88,2.781756041677506,0.7167372210661126,85
89,2.9067410000173397,0.6901749194533813,85
90,2.943976003406701,0.7850041204274745,88
91,2.9829638517545054,0.8169682795111018,86
92,2.9630252526788143,0.9282684900354938,84
93,3.0183236474224078,1.0153190550088924,89
94,2.984204671045953,1.0821108045229932,88
95,3.086830537297536,1.1876840146504053,84
96,3.222581762617645,1.2157836036348282,86
97,3.2518928394289652,1.3239432980784227,89
98,3.309413546068515,1.3108950925754157,87
99,3.327127574479214,1.3544985024124645,85
100,3.4228567013359266,1.3758226298953855,101
