phase_bin,mean,std,n_cycles
1,0.3168347645988742,1.3015923832441165,101
2,0.3501100491966899,1.2909516301647852,85
3,0.27186029364253067,1.2543756008572509,87
4,0.35026399421997173,1.2567967667144249,89
5,0.28610812224040527,1.216339054699018,87
6,0.25812400470667085,1.1962894362691212,83
7,0.3873925601986865,1.1999905287091719,88
8,0.3677321174641631,1.1776869134831864,89
9,0.35166449206731737,1.136655738607113,84
10,0.3704552368200544,1.14528992897294,90
11,0.436730163973238,1.1448725602985672,84
12,0.3702726077967375,1.0735509971084853,85
13,0.4474657298100659,1.0927668058491018,85
14,0.5239291592264402,1.0825549818095859,91
15,0.43104607424927305,1.0313753173634579,84
16,0.566374535692503,1.0705308058619551,86
17,0.5668741686957555,1.0397455469385286,88
18,0.5658058270492757,1.0144113631737586,86
19,0.6627285908589827,1.0355612060849706,88
20,0.6057364227701403,0.990445541053656,89
21,0.6844724793141458,1.0202443342711802,84
22,0.7234546598796192,1.0013282630857614,86
23,0.7038957440988582,0.9770278414526639,85
24,0.7349561947608355,0.9499739802444276,87
25,0.7868885202986887,0.9720565858093484,91
26,0.7834002455828025,0.9286085344484002,81
27,0.8813747099466732,0.9409257758690948,88
28,0.8073968782457692,0.8957713638982435,85
29,0.8734319354896408,0.8945377236237144,83
30,0.8850579876596164,0.8995069931630981,93
31,0.9446077373549189,0.8942583986178374,86
32,0.9266467996307014,0.9055491475001146,86
33,0.9755510814019878,0.9134387024642696,86
34,0.9375600343618887,0.87458422445127,84
35,0.9655581404061615,0.9075637332411713,89
36,1.0012458994317845,0.941451841366194,87
37,1.013318768424809,0.9470813528517917,87
38,1.0122467735289122,0.9516801196207826,86
39,0.9469327119741419,0.9098487962344762,82
40,1.059237693238051,0.9237397328844974,92
41,0.9898734411589661,0.942813486260549,87
42,1.0376708468089233,0.9198067758767218,86
43,1.00099604531522,0.8674952400764702,81
44,1.0450056645322947,0.8766121859823601,93
45,0.9757481170034897,0.8463931509101119,82
46,0.9704093958816628,0.8541689908416897,88
47,1.0036614859700081,0.8516220219509998,91
48,0.9491571187509679,0.8368271858135313,81
49,0.8717715008824612,0.8418360104025168,88
50,0.8775759452732019,0.8706033351187266,90
51,0.8825021926144097,0.9003483444552085,79
52,0.7485789109799854,0.9116362549297466,88
53,0.7691264758471424,0.9542928462168159,81
54,0.6995334998479998,1.0323707755222005,91
55,0.5676425810279728,1.0311868163008642,89
56,0.47695468361232396,1.0505142880754081,81
57,0.48615654250548873,1.1318689026514324,93
58,0.33790421179423535,1.094053435288738,81
59,0.3705336543870713,1.178242211313989,86
60,0.2988834829702068,1.2086704920512399,93
61,0.23943232748442544,1.2158831119878426,86
62,0.11431221921317805,1.196961970832672,82
63,0.15661063515476714,1.2900995408426785,86
64,0.10837429402286944,1.2892463016047664,87
65,0.11949127203971557,1.3273516558268579,88
66,0.01777834567507626,1.2955148856543812,88
67,-0.07410294072391861,1.2376538098110383,84
68,0.06386451084616804,1.3305707481722528,86
69,-0.0003156580059023926,1.2760899133789705,86
70,0.01967833542541491,1.2700846486278563,90
71,-0.00993158990116226,1.2318567682145871,89
72,-0.019709319163729176,1.1823322925436481,83
73,-0.10076720859216366,1.0817992036188788,85
74,0.08723305411576644,1.1908749073078926,88
75,0.024176106022916463,1.096191505683815,86
76,-0.002926123909240506,1.05122598171909,86
77,0.1266126205398124,1.0888396889389205,87
78,0.0407810273621353,0.9775216748287632,85
79,0.13071108415664812,1.0149369943617526,86
80,0.2588644492070243,1.0405875850847943,90
81,0.16248929428919717,0.9368127633738028,83
82,0.25724812160930965,0.9950608809172349,88
83,0.32473862396851094,0.9515414899019053,86
84,0.36927037535170587,0.9544998301159443,88
85,0.4906879560889946,0.9531230245695169,87
86,0.4826916928960658,0.9060373854282532,83
87,0.5623488038555419,0.9301599547012056,91
88,0.6015925724980087,0.9132716197700445,85
89,0.6545953405792565,0.8602373832660548,85
90,0.8099474258300798,0.904293353219409,88
91,0.7945618864680476,0.895645398158623,86
92,0.846934358653769,0.8909755021049081,84
93,0.9795623681437042,0.9200721667054602,89
94,0.9929140698746451,0.9431366816339499,88
95,1.0649437781254059,0.9106137086033421,84
96,1.1308784641968626,0.9628820976389506,86
97,1.1757882198421843,0.9951299437112114,89
98,1.2228106932453693,0.9854373793281397,87
99,1.284634028435948,1.0293610045991581,85
100,1.3393460435380693,1.0522848133833482,101
