phase_bin,mean,std,n_cycles
1,0.46700516362889094,1.3494611437775843,173
2,0.2528251162279565,1.1299871487175293,154
3,-0.06803444665045268,0.9562851011405482,150
4,-0.46113594788885814,0.8000043623212191,155
5,-0.9209542660996589,0.7324772939965578,154
6,-1.204043648825532,0.8005144977378339,149
7,-1.0208814280300007,0.9330452515372893,153
8,-0.3967712483784271,1.108256236368547,156
9,0.16361933630577,1.4493482846278432,152
10,0.8533027414610692,1.5378307644086924,156
11,1.1076397927956096,1.7597197722473563,152
12,0.7513068925799732,1.5049040804483178,151
13,-0.10768917111375294,1.170670568972988,158
14,-0.661705542232464,0.9828544583496501,152
15,-1.213399759563024,0.6863150513230306,155
16,-1.3515141539591848,0.5145402920405983,154
17,-1.382156619461808,0.47884778423858737,150
18,-1.207836878951332,0.4254572622735998,151
19,-0.9430395066157385,0.38385207743964733,155
20,-0.7565736424364946,0.3754747087306043,158
21,-0.6103198311028439,0.5085254677632751,148
22,-0.4917800716232854,0.4790056160550294,155
23,-0.5745910980786365,0.6961386155914002,154
24,-0.5312815974967172,0.6273768614873885,151
25,-0.5630382283888778,0.5459872368347866,159
26,-0.5890967048678522,0.4826852043181334,148
27,-0.5994051997389553,0.4549602264156156,155
28,-0.539395128042748,0.40608317268193117,154
29,-0.49221541326574203,0.475765478245288,151
30,-0.3486722327594863,0.5943679397293821,158
31,-0.3708311979766407,0.7349857723435884,151
32,-0.3699449667759255,0.554679643341826,155
33,-0.4159600808063478,0.5218655596762459,149
34,-0.417266355692068,0.40340001603363357,154
35,-0.40939002916565514,0.41734244331018655,151
36,-0.44121504962787683,0.39181882561813697,156
37,-0.4516214417293788,0.33765417195632236,155
38,-0.3852161489310563,0.33473696336519276,153
39,-0.32663179473288656,0.3316215176470501,153
40,-0.28648696584587396,0.3283873947805938,158
41,-0.26194997851383145,0.32209947355847757,148
42,-0.2303421756074732,0.3521681067613914,154
43,-0.2115346174713459,0.35539866269060566,155
44,-0.2049565975520725,0.3446269559588726,153
45,-0.14324023364869287,0.34047689431884076,150
46,-0.14715724462603702,0.32425284130248655,155
47,-0.1610407151258846,0.3392639746325233,151
48,-0.12176944825294808,0.31345809821210324,154
49,-0.11440339338618696,0.33560777441187933,149
50,-0.12102324394123312,0.38358039756038437,172
51,-0.1261696847894894,0.3668699760767372,147
52,-0.12000177315008555,0.3887012612401693,150
53,-0.12033475259916063,0.34396165826026426,153
54,-0.11296901440010675,0.33220032243420844,151
55,-0.12298761084728617,0.34694078397167066,156
56,-0.16034986940041476,0.3602821009502807,150
57,-0.2034297279968064,0.31467838590070535,152
58,-0.21042253233582228,0.36426416016636015,155
59,-0.2295959712957582,0.4514560964210369,154
60,-0.20916169695924144,0.4159545769503971,157
61,-0.1863862343730966,0.3899066993801316,149
62,-0.15350751726265413,0.3647273888553747,153
63,-0.1782932055772644,0.40148416383610047,153
64,-0.06479324125546516,0.45368768809020626,156
65,-0.009790967885980356,0.43765867991052365,156
66,0.054031312891682566,0.5070174891872686,150
67,0.1349248349769945,0.5863286935735954,154
68,0.13894107240582473,0.5536426872929459,150
69,0.04774329789163125,0.46077419433423267,154
70,0.09898741352309628,0.5376515310176667,157
71,0.20872869607931013,0.5629918785716472,152
72,0.19751435803505016,0.5452375493168495,152
73,0.22691524429340965,0.5397708582507988,153
74,0.27185172143623243,0.5604495585322535,155
75,0.2765155086712486,0.6059306347337725,156
76,0.3370005626979242,0.5973275219834081,152
77,0.41103535439776007,0.6682753055735298,150
78,0.4586531388759967,0.670988299193557,154
79,0.47289200093588213,0.6565585173468004,155
80,0.5094869213509136,0.7145935574196259,157
81,0.5729041972513237,0.6992538762110573,149
82,0.6083192574396413,0.7254635204980893,155
83,0.6342351781475378,0.7731781650129488,151
84,0.7202315187598793,0.8258157739589059,151
85,0.6801514520700508,0.7914310325095435,154
86,0.6389858475404427,0.7297962822857198,154
87,0.7633974159763034,0.7934729465014644,152
88,0.7218708434473468,0.8601425936280906,159
89,0.6854279456697774,0.8148619872600534,150
90,0.6215633937055285,0.9271301345153754,158
91,0.4682377187020243,0.9796609660228149,150
92,0.32868678267612766,1.116365771025879,153
93,0.2753115418578613,1.1331050829156204,155
94,0.14579844617286689,1.1722372236601566,153
95,0.252452014072099,1.5186526720468345,150
96,0.019636268817034796,1.5231856360799414,154
97,-0.0697838812034733,1.3386476137904457,154
98,-0.10736107210963432,1.459674018098247,150
99,-0.1057260555510767,1.6082637152178783,154
100,-0.18894293292631667,1.4545403081137698,173
