phase_bin,mean,std,n_cycles
1,-0.21290827820126265,1.2443750940463147,123
2,-0.3533937144601371,1.0952456860369786,104
3,-0.2562067993812012,0.9832307469880802,104
4,-0.09453361239227166,1.0808215509622978,106
5,-0.010860947598518737,0.9437524735345264,106
6,0.029162040092683746,0.8353993223297156,105
7,0.14643068878741833,0.8408312728537449,102
8,0.3475920231346315,0.8197900053951643,108
9,0.33235669763786757,0.7668610415709848,104
10,0.47506272344898454,0.6987180637582325,106
11,0.4671366708081856,0.6934882656936511,101
12,0.5495405514134023,0.6770186125519077,109
13,0.4914927127372008,0.6911262479281691,104
14,0.5063858681699508,0.7260817097177256,106
15,0.5539918419991394,0.6961951893786233,106
16,0.5391309517434008,0.704083158389859,103
17,0.5314486393128544,0.7117605726229745,102
18,0.4543264377669676,0.7255556638978495,109
19,0.5249231807581943,0.7910617016152834,106
20,0.5354787817641189,0.7511098353772278,107
21,0.3831105062973165,0.7272168567124384,101
22,0.4270406792675211,0.745166968414921,102
23,0.3291806415994477,0.7802012612218996,106
24,0.25836658485683717,0.7569259211542098,107
25,0.18776792328887093,0.798397896729131,105
26,0.102383841070563,0.7749657150875249,106
27,0.037848663108855686,0.8044300933891407,103
28,-0.1017919203457715,0.7757971408499872,104
29,-0.251629428111573,0.7277610923391181,101
30,-0.2059010385991534,0.9003486147615618,115
31,-0.2790372714213869,0.8639171565475386,100
32,-0.49150506640548913,0.7619304059709953,102
33,-0.4873304705550848,0.8306118019398944,105
34,-0.41122415581465493,0.9368972591709486,108
35,-0.522152476394142,0.8638931306659346,104
36,-0.5365041883035454,0.8184792446240763,106
37,-0.5434496830563472,0.847171116783336,101
38,-0.5107154798128968,0.8423132807544147,108
39,-0.4744154091959902,0.8576159082225479,102
40,-0.4332597506768583,0.8857781865924247,110
41,-0.40685667781112345,0.8320351186410178,100
42,-0.44729083879599896,0.8294531848365447,110
43,-0.40222679737084777,0.7670410478924422,99
44,-0.3930675206394091,0.835390457507882,107
45,-0.28787306256070544,0.8773177615359538,111
46,-0.3543359443495252,0.7334991637131648,97
47,-0.32672873444545253,0.838598243353901,105
48,-0.29735558035675164,0.8144214898454656,107
49,-0.3162221337269977,0.8158810009277923,106
50,-0.2395910666567424,0.886954992459296,110
51,-0.2494429736252591,0.792763529324452,99
52,-0.3069353164560845,0.8127276026479828,106
53,-0.2776686571929869,0.8168046326116484,107
54,-0.29805903815497253,0.8399929562970844,105
55,-0.30618047860209296,0.7586353750855873,102
56,-0.23394080154409702,0.8483147770804835,106
57,-0.32401811018971716,0.8408365981108793,107
58,-0.29343153973776387,0.7589389002352458,99
59,-0.3373799193386616,0.8385047795449483,110
60,-0.21977940038027516,0.8757970473869602,109
61,-0.327063752378958,0.7618359140053235,101
62,-0.30049912958744973,0.8372781188422507,102
63,-0.308115910736453,0.7773374725280798,108
64,-0.32697533499415016,0.8222564427324187,101
65,-0.3386945473147048,0.8249032212317405,111
66,-0.3048290609934272,0.7817807856975749,99
67,-0.2698523021041044,0.8661118016221472,108
68,-0.31225205291506464,0.807908569825242,105
69,-0.3504097570896257,0.7522393955439539,102
70,-0.21735478501777383,0.8670909550684947,106
71,-0.252601145030925,0.8455763747541292,109
72,-0.3374578248253518,0.7878585997963689,101
73,-0.2187086800167468,0.8119355821374332,104
74,-0.17692467448996052,0.84711396700577,103
75,-0.2398914545213905,0.8390420645513185,113
76,-0.16380419018623546,0.8286057694233898,98
77,-0.20848231335546283,0.8607857865376438,107
78,-0.2008913550847927,0.8079158597176764,106
79,-0.14639548649837025,0.8483800900572199,102
80,-0.1749094178436505,0.8792943079330181,110
81,-0.13866377705221739,0.7964808606601225,98
82,-0.12046900066512277,0.8681587668613568,106
83,-0.18680410198650987,0.8419792872661831,109
84,-0.0781034380170098,0.8816577272112501,102
85,-0.05471852944940097,0.8880916186926037,108
86,-0.03436197081319531,0.8461876464024364,101
87,0.0060312831753704735,0.8962738926487939,106
88,-0.0008032104447377837,0.9383253124614588,104
89,0.12148864252992125,0.894734089371606,109
90,0.15542266262046098,0.9823106572182259,107
91,0.28521810275528664,0.9474215059278982,100
92,0.2926188408856584,0.9954528364318621,104
93,0.4148261546019614,1.0366690148882496,108
94,0.48163342618003013,1.0962880385664864,102
95,0.46851098597169816,1.2007099205459306,110
96,0.7298898428587326,1.1686313136530044,101
97,0.77142413663417,1.2348812335729578,106
98,0.8779235097220851,1.3158801234663988,104
99,0.9438466525041804,1.3361945677058047,104
100,0.8677597024501289,1.3737313036207224,123
