phase_bin,mean,std,n_cycles
1,0.22584034559194466,0.6278925911988297,393
2,0.27535229893945734,0.6111798962328431,376
3,0.27484916239854856,0.642324164806336,372
4,0.278523361228436,0.6291396725288473,378
5,0.26744905182721784,0.635125829692449,374
6,0.24601570950429533,0.6128078952766045,376
7,0.23784368983389778,0.5854788178115138,375
8,0.2190925625140306,0.5549411602006449,379
9,0.1986536064955339,0.5199740382700051,370
10,0.18213054002311616,0.505842519050933,376
11,0.1652347396600998,0.499193656108346,379
12,0.13640120107831682,0.5052533043899207,374
13,0.13232999365836062,0.5429010813252533,372
14,0.09669349905674456,0.5685247146256354,379
15,0.09983240538361404,0.5932220746926731,371
16,0.0768456993011057,0.6090516167745194,378
17,0.07467959884197184,0.6057259718580683,373
18,0.05361824177989281,0.5815821662672065,374
19,0.06282458433007951,0.5551534959053913,376
20,0.058147346058712225,0.5285141557728298,379
21,0.0521446366726003,0.4825884766104775,370
22,0.06536276540889824,0.4874328138399584,379
23,0.0513415351049464,0.4717023413800585,372
24,0.05951040879340598,0.4980905716877687,379
25,0.05915042755815715,0.5120876729399613,375
26,0.044375789193888515,0.5344149663851762,369
27,0.05039121754179568,0.5441225994463313,380
28,0.025387423702273395,0.5516095791885111,375
29,0.03168014172463064,0.529825147952231,373
30,-0.009625899245945644,0.5405127511181119,373
31,-0.026957821441644096,0.5284758489720528,375
32,-0.03831344538436409,0.507666411582983,379
33,-0.07132732880502185,0.4987067315276318,374
34,-0.08791010285356365,0.4792739020512142,372
35,-0.10465851813096,0.4764253833036977,379
36,-0.11571087242547178,0.4675316701554436,373
37,-0.13245663466757282,0.47781286947816193,380
38,-0.13749193353956246,0.4683339745757883,371
39,-0.15363535439559806,0.4939418209607757,377
40,-0.16236998970766234,0.5077468186752147,378
41,-0.14840743330965842,0.5106237965335397,370
42,-0.1672539794261101,0.5487645271453512,376
43,-0.13889957765232255,0.5536820158296424,374
44,-0.17224480282599533,0.5904816002971736,374
45,-0.15516407589836723,0.5857147837654955,379
46,-0.167741800277877,0.6195514986718402,370
47,-0.15435148344085864,0.6180627814831593,376
48,-0.1660227501727138,0.6482188066918404,378
49,-0.14378898798247017,0.6243204562721021,373
50,-0.16012220525307547,0.661351671700899,384
51,-0.15630998215507724,0.6600510866595984,370
52,-0.12574936414606666,0.6282725399922656,373
53,-0.13976036909766054,0.6511813680986839,378
54,-0.11508878088721022,0.6297694903947466,376
55,-0.11857904582023009,0.6310166560494075,371
56,-0.10085794513400168,0.6069176569931473,378
57,-0.11125820885770157,0.607890816605426,374
58,-0.07952419409539266,0.5697295546531826,374
59,-0.10441671803974972,0.5570166373767719,376
60,-0.10087842238183276,0.5252184904109222,378
61,-0.0861743674253034,0.46318546783635245,370
62,-0.10555669024316552,0.445046826735319,377
63,-0.09672040675594408,0.3825993312298642,371
64,-0.11777996995746537,0.36377368458989046,380
65,-0.11983517313502563,0.3390693479674839,374
66,-0.1294655584440174,0.3513635255965636,378
67,-0.1456511855883573,0.3651693081019673,372
68,-0.15696055845514428,0.3946006704044936,374
69,-0.15729211497435464,0.43114302305351754,379
70,-0.15863252984457205,0.4539783305426264,376
71,-0.15918526996280682,0.4648409276032416,372
72,-0.15301624564630628,0.4830092991670436,373
73,-0.13977847514097902,0.4536796120155654,375
74,-0.129946602583095,0.44322895665073203,380
75,-0.11076066577069851,0.3923884196668287,374
76,-0.10304678103848104,0.3585928892979236,370
77,-0.07362093124830531,0.3081188697378116,379
78,-0.06221333513372011,0.26666799424463505,372
79,-0.04295078456284674,0.2302445579524128,379
80,-0.02362810842462643,0.2073830353020832,378
81,-0.006983933404720589,0.20470176310869648,371
82,0.0095003317478093,0.20273769289922378,376
83,0.027103031119321212,0.22283228523174614,374
84,0.04328461522746089,0.23802709266708424,373
85,0.059736354887331256,0.26647498963494237,379
86,0.07577144533759961,0.2848093985652453,370
87,0.09282539872377174,0.3110038654241968,379
88,0.10503722692753559,0.3265955131566253,372
89,0.11428079397228709,0.3497194533837123,374
90,0.12820558853334627,0.35849523354526097,380
91,0.13293470567101937,0.3755216048937396,375
92,0.1391071431022938,0.38231451890102275,370
93,0.14821917942949192,0.3922353185922838,379
94,0.1524091903458898,0.3978294727648556,375
95,0.148342763248597,0.4055091377876543,377
96,0.15312234342818132,0.4160550842986465,373
97,0.1609109907872183,0.44357977788143294,378
98,0.15075241579403315,0.44379481076443034,372
99,0.1608305149413411,0.4873642023651755,376
100,0.17296216199016065,0.511145123731546,390
