phase_bin,mean,std,n_cycles
1,-0.4440835127118296,0.5239558449004961,334
2,-0.3265264496433737,0.4349638173552931,315
3,-0.19500246052033543,0.4042149522589964,315
4,-0.12707960712974992,0.4245463006982306,316
5,-0.14535135069002472,0.39942425545121263,317
6,-0.1498109222177007,0.37719756953174655,318
7,-0.1794177700614039,0.35754109519404187,314
8,-0.06520929313101514,0.3896357274071,317
9,-0.029899904717765883,0.37826841932923355,312
10,-0.10508779061157837,0.40118577735560546,318
11,-0.10822014220375313,0.3991609991283168,317
12,-0.07329015854353756,0.42482551982788186,316
13,-0.11353361595440944,0.43489461034503984,319
14,-0.1004174920776495,0.42121921698849996,312
15,-0.05768891608885035,0.4550853273747293,318
16,-0.10835908390308242,0.40627809824093086,316
17,-0.14009421745513861,0.414500120365087,316
18,-0.13797260185290416,0.41863320514369906,313
19,-0.14791580592655446,0.40785853766787367,316
20,-0.17945538971801944,0.4124969651318427,319
21,-0.1575068685111759,0.3975726635937176,315
22,-0.1431215649261867,0.40657658706603833,318
23,-0.11782456959239127,0.39945351256193184,315
24,-0.13750493177901704,0.38330621120307296,315
25,-0.15441975287405812,0.3941987407408331,315
26,-0.11242211722743514,0.3994229702494931,315
27,-0.12885093603762343,0.42024546652484,318
28,-0.09043491273492854,0.42506921826679017,318
29,-0.0637950986421298,0.4873076356757534,312
30,0.029846102182961815,0.6067893488864725,318
31,0.001835270850432465,0.5858832434234735,313
32,-0.0771031829233528,0.5355282451918093,320
33,-0.027526437206696567,0.5083980882920094,315
34,-0.010781562153123928,0.514260888783126,316
35,-0.14900569940207964,0.4600570753390506,316
36,-0.1582143325113487,0.5234719872827238,315
37,-0.22810286438365074,0.7055982910891488,319
38,-0.2301827158016567,0.6997734764994183,315
39,-0.19719677015084536,0.6003619917987246,313
40,-0.1524830927138569,0.6001340491323253,321
41,-0.06002896598386718,0.5819635226295933,312
42,0.059356288565965844,0.7043358510104544,316
43,-0.29557520300802553,0.7675665454642108,318
44,-0.05779583326112274,0.4501781051791327,317
45,-0.14425451521784016,0.4133827794529124,314
46,-0.20677208888684692,0.42546106989390114,315
47,-0.1616748433054772,0.44640367571129747,314
48,-0.2216064624873087,0.4720722826304606,322
49,-0.2771979417533102,0.560297347318133,313
50,-0.27441694749300616,0.6709825543786108,321
51,-0.2762869928149654,0.6996766988736334,311
52,-0.2713442576298936,0.6766031123066575,315
53,-0.2049893600000478,0.5951948306973649,320
54,-0.11560775347372582,0.5611288110772554,314
55,0.10404192106249747,0.6706750469255949,316
56,-0.11943244232005679,0.6986438454565298,315
57,-0.1715918336055257,0.7525467132385832,315
58,0.0069748710624519495,0.6413745262656637,318
59,0.08391094745573864,0.6186068663997675,316
60,0.05609386603156925,0.6289847407027038,318
61,0.11608875482838626,0.5792118678667534,315
62,0.1241024335988597,0.5581231709041066,313
63,0.060906562814906175,0.5826112776067036,315
64,0.11353719605121239,0.5533432618118956,321
65,0.1331803395111949,0.5301821283349427,314
66,0.13750561956089077,0.5042497690094009,315
67,0.1271220181912656,0.5572652129380155,316
68,0.07845844641655542,0.5986487303278568,317
69,0.05622128236093142,0.6018236402260925,318
70,0.050788639630037276,0.5475819052825514,314
71,0.062353343940582194,0.5509940064075645,317
72,-0.03489356666767401,0.4943033065450128,314
73,-0.027065852905088082,0.5126929136712807,316
74,0.02092695912760976,0.4739064633375807,318
75,0.12220975997094734,0.5455385518850038,319
76,0.10733843404785771,0.6323269878554253,313
77,0.06358374796107279,0.6176875689629132,313
78,0.04502078026557097,0.6219589434249604,315
79,0.036917708462562385,0.6236616658652493,318
80,-0.027772276438702264,0.6008446917999172,321
81,-0.08580355305712208,0.5899899787035969,313
82,-0.2225414533095714,0.5952540676878696,316
83,-0.29778076745685694,0.6326286279655174,313
84,-0.2738507188517752,0.6277078681795197,318
85,-0.3361093711002601,0.6570884786713752,315
86,-0.39632253094060726,0.6523658683262641,317
87,-0.39553943917771495,0.7073238350983035,312
88,-0.3013029837952409,0.8810448317450879,321
89,-0.36458940565962034,0.8207657119680162,314
90,-0.273723302522413,0.7352056877800425,318
91,-0.28722963440693156,0.6789700805298412,317
92,-0.31568344754692057,0.691009682516954,314
93,-0.275846301267357,0.7769694525363672,315
94,-0.14677078483049882,0.7287307222382408,314
95,-0.22029132471802068,0.6561987750074004,319
96,-0.32124959337450315,0.6763302642894012,318
97,-0.01108578494790327,0.8585276562482131,314
98,-0.27449568817611797,0.754758264847038,315
99,-0.1392414343248958,0.7553006131475503,315
100,0.026305911953976906,0.5339774150031118,334
