phase_bin,mean,std,n_cycles
1,-0.02348903001574239,0.15497554047092046,288
2,-0.01803465596205059,0.13750372707028596,260
3,-0.017221506152396315,0.1437197945407162,264
4,-0.012890618285586576,0.13599338831612498,259
5,-0.00829894005907331,0.12970436197236995,261
6,-0.008976818124141164,0.11671131535999198,260
7,-0.010293807066662568,0.11410624611153852,262
8,-0.011457761796186657,0.11017761564710667,260
9,-0.009344793827299639,0.10586509816581073,261
10,-0.01298069993674166,0.10708360033336292,260
11,-0.016057483872247747,0.10976965090501413,262
12,-0.018076456307960953,0.10830415400385777,260
13,-0.01970034243704092,0.1104808918542717,261
14,-0.022171213278974037,0.11627790330208414,260
15,-0.029489308172538396,0.12690479478871922,261
16,-0.027470381097521864,0.1254426405167947,260
17,-0.025723570455611224,0.1292667269435122,262
18,-0.02838070196674869,0.12929394384469808,262
19,-0.031534270048654445,0.13637363064899188,260
20,-0.029406219199431705,0.129672726655668,263
21,-0.02727789102431448,0.1316121963522801,260
22,-0.026971652572622906,0.13110692576653024,262
23,-0.02722912129260208,0.13760943178961232,260
24,-0.025929525041406616,0.13065143235286825,260
25,-0.028654237632570523,0.14215421241274143,269
26,-0.021655920578830645,0.12791430142538704,259
27,-0.023178837622043893,0.13776489408794654,263
28,-0.019754746984334152,0.13476959604760644,259
29,-0.01941762089779008,0.14039519915096232,261
30,-0.014288126444012419,0.13541245170782212,260
31,-0.017243722509271676,0.14461086565716388,262
32,-0.016548099744956073,0.14455159849073396,260
33,-0.019322371254135683,0.1501966457191504,262
34,-0.013063275135806738,0.1567459182048664,262
35,-0.022950323334519452,0.16064374914962543,262
36,-0.022132720133683805,0.16889665947256377,260
37,-0.02419997166475314,0.17673509177604166,262
38,-0.023950429032161394,0.1872272238932584,259
39,-0.020170318132833143,0.1927812205048766,260
40,-0.024111985478293053,0.20668294342387095,264
41,-0.022876262701791817,0.22172212795408294,261
42,-0.024146927709008427,0.23218945831322,261
43,-0.0171647998162954,0.23501880365977376,259
44,-0.022619797354352232,0.2540213640147705,262
45,-0.021433559507382915,0.2658455834115168,261
46,-0.02045407295896639,0.27741504453981036,260
47,-0.01952141850976881,0.2852930716670178,261
48,-0.012747766143445359,0.27921970740130503,261
49,-0.01962823372012804,0.2989804588259649,262
50,-0.02157305441810266,0.3255996753852215,276
51,-0.020162510023866275,0.30861985643082646,255
52,-0.00761389516748103,0.30935497661954237,262
53,0.008706522388618906,0.29793019292538064,261
54,0.010732679890849315,0.313040193394516,261
55,0.009308408760078785,0.30700351523576547,260
56,-0.003569644935832874,0.30238151838415656,261
57,-0.03937533710492974,0.3194766148137071,262
58,-0.07153611896772148,0.38908749970251794,259
59,-0.12560541563849476,0.47791754947777765,261
60,-0.1329830671183768,0.5241388763889412,263
61,-0.12014096966080014,0.4764708842102517,262
62,-0.062136703705166885,0.3675630057370799,260
63,-0.010632875823347708,0.26403220500498187,259
64,0.06313875163913933,0.2880411863460581,262
65,0.1202140949941233,0.3873090342038828,260
66,0.14599119822982753,0.4505151535731123,262
67,0.1639392207695792,0.47037013161442887,262
68,0.14104409653136102,0.4125500925061908,262
69,0.10836305628240199,0.3314725340895833,260
70,0.07605431357534989,0.26128590781387184,262
71,0.04225483999417112,0.22755823612521103,260
72,0.021539165490331594,0.23426378054822858,261
73,0.005675093532159126,0.2532173151097905,259
74,0.004730209628620299,0.2647920652295276,263
75,-0.004137928894700528,0.2748586908692036,267
76,0.01125428442143811,0.25997651716686704,261
77,0.01585283654040049,0.24759092082197443,260
78,0.025322032684374638,0.2550683373021288,260
79,0.031690266933047516,0.25683435298959995,262
80,0.03325948094734912,0.2583604570530166,262
81,0.035975610338061854,0.24805675908163102,261
82,0.04771502988189947,0.2641462076599913,260
83,0.05552179916355363,0.2677469387163045,262
84,0.06976654974556736,0.2898724043502228,262
85,0.05697814827343704,0.27062818292353413,260
86,0.044098298050001664,0.2525925322456273,261
87,0.03958305545611029,0.2598233443665399,260
88,0.02968416933545397,0.25496266763180514,261
89,0.025366515959819282,0.2498412253828955,260
90,0.020713871996264257,0.24473283676917543,262
91,0.017386727208381015,0.22574314844524537,260
92,0.021425035814395775,0.2320069928513856,261
93,0.024339755366510365,0.22286404322257436,260
94,0.017028928311412818,0.21660501409799354,262
95,0.0257383675778942,0.20483646393540844,260
96,0.014151467439644115,0.19058307784546405,261
97,0.015103727934484237,0.18830659428926355,259
98,0.008745120536000902,0.18099249360523484,264
99,0.00815451242270482,0.17068619930233372,260
100,0.006335456600550401,0.17541773284559764,288
