phase_bin,mean,std,n_cycles
1,0.04235198258577538,0.3309889886984905,288
2,0.03786105317945673,0.2873312120328469,260
3,0.04679434082576985,0.2864533655901373,264
4,0.042387375265271934,0.2914193367108463,259
5,0.03134293583152389,0.29666289582679334,261
6,0.030999312273335484,0.2969671736384851,260
7,0.03355634225853612,0.2973307556107932,262
8,0.03180862050297869,0.3016495986707269,260
9,0.036514956265851446,0.2998109937316328,261
10,0.037195507707760284,0.3053210083480768,260
11,0.03896170514980024,0.30313096752761265,262
12,0.03150998885127807,0.3103385786916645,260
13,0.02900995386805982,0.30839562221565303,261
14,0.02377353691576096,0.3131065203409102,260
15,0.014394755100718882,0.32058608950590745,261
16,0.012849212665257808,0.3233850905105555,260
17,0.009360995835386876,0.3288785792206778,262
18,0.007031611804349358,0.32986275033941287,262
19,0.00384028550310724,0.3344876317301992,260
20,-0.000920885670121852,0.3370883691513671,263
21,-0.00042159127825668773,0.3395014783811868,260
22,-0.006535473510217887,0.346423807807224,262
23,-0.010280549168009669,0.35178039512599857,260
24,-0.013368877599095528,0.3583059906101661,260
25,0.0018632771148964899,0.4135992522005952,269
26,-0.014711694068108792,0.3615493292342934,259
27,-0.024831077590300354,0.36562390498208347,263
28,-0.02110606803785157,0.3637654717632243,259
29,-0.027170718581527642,0.36459684528730235,261
30,-0.019813110066544376,0.35575754980973967,260
31,-0.025823254961291717,0.35866459950297874,262
32,-0.019544711784540696,0.35145521244437694,260
33,-0.020719958868059295,0.34850540738637176,262
34,-0.012273313978504667,0.3416863909300566,262
35,-0.022635429746118256,0.34405015530936944,262
36,-0.023832502882787744,0.3423535946520022,260
37,-0.025713041399847734,0.3391875872186466,262
38,-0.01834833812555125,0.3303427839764973,259
39,-0.02779965572690168,0.3340957053889305,260
40,-0.019646480635042034,0.3195412755880398,264
41,-0.02622560171163566,0.3202957275483381,261
42,-0.016451540277630388,0.3045168267358106,261
43,-0.02414541385195458,0.3079748177457343,259
44,-0.018373430505241612,0.295104721310083,262
45,-0.02155082789409286,0.2957059016202993,261
46,-0.01830185292005938,0.2860465628769307,260
47,-0.022816583806122448,0.286238136425893,261
48,-0.027046355707037197,0.29061206304303694,261
49,-0.050070442578157216,0.3359531069857797,262
50,-0.029385034258011977,0.3504530705983053,276
51,-0.04085125665010829,0.3275292709680355,255
52,-0.04503735660554839,0.3265936318685643,262
53,-0.036871432554136566,0.3074489360600944,261
54,-0.04419675415962484,0.3247651149492193,261
55,-0.04077018266526263,0.3222444149301574,260
56,-0.042668545459749664,0.3243395951762689,261
57,-0.03834229094620175,0.3215072625305972,262
58,-0.03355683560251983,0.30465326343228644,259
59,-0.034493991375245066,0.3196485898047057,261
60,-0.16907786974488723,0.5317185290002803,263
61,-0.20358160573460568,0.6033626918086558,262
62,-0.2069543777838484,0.623384874557073,260
63,-0.2286986932471541,0.6677402474732924,259
64,-0.2294005611971752,0.6693924753219008,262
65,-0.20936461492315944,0.624911273111974,260
66,-0.1601321542263793,0.5153107874199725,262
67,-0.09434976138421926,0.4008826539080703,262
68,-0.054497762161199836,0.33314432809884714,262
69,-0.027846342631127587,0.32261231466262674,260
70,-0.02556098750489259,0.3219001698015037,262
71,-0.009774397312062508,0.3252161665766302,260
72,0.01282475064071842,0.3046945163131091,261
73,0.008458646532917596,0.3275350149841189,259
74,-0.004996701441203584,0.31516367707048376,263
75,-0.01674448813236182,0.3141350663131452,267
76,-0.028015033912293923,0.3156857133698702,261
77,-0.019696084302207182,0.2959642703018887,260
78,-0.028117620281673826,0.31138449510689464,260
79,-0.028308366672665803,0.3032994966457743,262
80,-0.029012712969968046,0.29751600853033144,262
81,-0.022061801549742206,0.28169882592338563,261
82,-0.028822654236239774,0.2929257110079673,260
83,-0.023590818044487354,0.2788184348019934,262
84,0.0010421170374321235,0.29202870841184375,262
85,0.009037545722442572,0.2476191776248612,260
86,0.023426736911323187,0.2346746566111438,261
87,0.02125573479446682,0.23774757832961319,260
88,0.018891282294197984,0.2340862278155341,261
89,0.02286345078712785,0.23326023216489725,260
90,0.02458189686917752,0.23219395017567176,262
91,0.033348465665707705,0.23299900547843597,260
92,0.02769912409707155,0.23752472890330306,261
93,0.030790763723180903,0.24061332345765804,260
94,0.029820918922336338,0.24514735536265797,262
95,0.03126503685597818,0.2500654985844685,260
96,0.03857175840260527,0.25600191261640387,261
97,0.038278549706786506,0.2595842063280684,259
98,0.03544367682658394,0.2643764796180413,264
99,0.034884814452349415,0.26859668225859706,260
100,0.04739153453404402,0.31701248566884876,288
