phase_bin,mean,std,n_cycles
1,-0.1336038305735186,0.3742346013406751,288
2,-0.14815647018721342,0.3618977802025453,260
3,-0.16323162627290494,0.32940368646561224,264
4,-0.14112742557842775,0.29522293655541054,259
5,-0.10623014390930814,0.258471261246922,261
6,-0.09976815886070761,0.22440924116703662,260
7,-0.09485801012251997,0.2257274710643565,262
8,-0.09743055927971705,0.25063443268345303,260
9,-0.10040853575741582,0.23899297522485138,261
10,-0.11270287654218904,0.24741918226766219,260
11,-0.11821021357027867,0.25081122975774,262
12,-0.12220911483821757,0.26824846762829446,260
13,-0.12097821789410204,0.24949465769456886,261
14,-0.10249535837186337,0.2665797223341229,260
15,-0.09994280710526442,0.29226275692089027,261
16,-0.10124863859533505,0.29558978016789195,260
17,-0.11913811569403064,0.3077582662340474,262
18,-0.10684341255431666,0.28964008757080756,262
19,-0.13007903342755264,0.29567657627347865,260
20,-0.12701793344392842,0.30576020954820565,263
21,-0.11683263580193914,0.31283452031786946,260
22,-0.10924049304067597,0.3414384548626934,262
23,-0.10810559736624084,0.34299597097052914,260
24,-0.1165988758438401,0.3360558055824554,260
25,-0.13187032411018534,0.3229493349574908,269
26,-0.1212593333868421,0.30177545189402905,259
27,-0.13587651740737833,0.33321117685910534,263
28,-0.12470105014443962,0.31679766115690866,259
29,-0.13782207081357725,0.33607105009410726,261
30,-0.1149625561371467,0.30475236001959205,260
31,-0.14272229467272735,0.33916255783457655,262
32,-0.12361167458681196,0.29737966493035406,260
33,-0.13529907768271135,0.3095240286207855,262
34,-0.10931781821765532,0.2940309940892656,262
35,-0.12045264370267934,0.2969661630954918,262
36,-0.13646847228226033,0.3037393297146305,260
37,-0.13700023157625668,0.3078377388904353,262
38,-0.11038663726624998,0.2692757933658136,259
39,-0.12719599394433087,0.30822998155845605,260
40,-0.12209931849426196,0.29164029307669614,264
41,-0.13813255658167817,0.3205818392435938,261
42,-0.12858511921257473,0.2926121420106625,261
43,-0.14378693398202583,0.31253463867638087,259
44,-0.11937009122496868,0.29902117793922595,262
45,-0.13409624159636616,0.2955462602770316,261
46,-0.12524799429350533,0.27857759462016857,260
47,-0.14581707934217608,0.29967143418713926,261
48,-0.13037041237915506,0.29260416332317,261
49,-0.10985909445651067,0.2923137776173811,262
50,-0.09140022992585717,0.285175970520669,276
51,-0.08600382250440407,0.26249912069787834,255
52,-0.09725509060887928,0.26455611057845013,262
53,-0.08775624070730312,0.26689006202589943,261
54,-0.07401724546883716,0.2592468882743463,261
55,-0.07179488387485325,0.24976121518410546,260
56,-0.09016250541008529,0.25752096656345785,261
57,-0.09161035268938797,0.2511953585878461,262
58,-0.08183603234527059,0.2502057333640311,259
59,-0.060743978882522635,0.21962563405216948,261
60,-0.014167276866067073,0.3004131631194364,263
61,0.00852575149884878,0.3363025533486401,262
62,0.005891342200068242,0.36345695041672527,260
63,0.059352575551627304,0.4225845668533842,259
64,0.0689940398966875,0.42976943698586534,262
65,0.05201997393161642,0.4123553711621365,260
66,0.045100560210073457,0.38883480414687205,262
67,0.01610361884282343,0.28105488579754284,262
68,0.031182028353793457,0.3767917774648941,262
69,0.17334139218502947,0.7231221020088217,260
70,-0.031528690176445946,0.32921557021632,262
71,-0.12594927416780255,0.3621068513658916,260
72,-0.04211483279646719,0.3080479448000811,261
73,-9.52593523297509e-05,0.3326691406177896,259
74,-0.05044895553376177,0.33219255289787575,263
75,-0.06378342523598256,0.2887955917771176,267
76,-0.06679845136049069,0.2561747963189035,261
77,-0.05169152747833396,0.2649295346212753,260
78,-0.03602961028569684,0.2795662426108541,260
79,-0.03941585822833796,0.30581013695929166,262
80,-0.056736697871708625,0.2716011708881878,262
81,-0.0667984513604907,0.2732655123677859,261
82,-0.0700027241960938,0.2597815632985522,260
83,-0.05201986207596928,0.26752682951608053,262
84,-0.03949318340531728,0.2657256136951018,262
85,-0.05878224620733882,0.25541101190447835,260
86,-0.08426327581616774,0.2575080956493954,261
87,-0.07592464313460338,0.27263114913316255,260
88,-0.07595778151946798,0.2828534796907751,261
89,-0.09213200022947163,0.30403343154192797,260
90,-0.10042542286503198,0.29691410415993275,262
91,-0.09719679932161798,0.3251942491375826,260
92,-0.06842850164302056,0.3418627989768816,261
93,-0.0514577675202349,0.38544986954563704,260
94,-0.050009407474506606,0.42432792422234755,262
95,-0.02410785242264472,0.46508826119333013,260
96,-0.03489603868812068,0.4685269172875221,261
97,-0.009481759600322975,0.5144048973502792,259
98,-0.02617509326421772,0.49499902687360825,264
99,-0.04631504844205557,0.41803473789757445,260
100,-0.05812425521417113,0.3892621896265111,288
