phase_bin,mean,std,n_cycles
1,-0.0012229438178177998,1.1993063111129816,288
2,0.011695425509399096,1.2333329379072777,260
3,0.023226845694429867,1.2454983082010402,264
4,0.012796803657665367,1.2375179591474288,259
5,-0.007612799650190519,1.2280133104265545,261
6,0.006604084688638546,1.2395267856688907,260
7,0.014679006173653706,1.244989573745947,262
8,0.02135386248736521,1.248538366975465,260
9,0.006619669063469031,1.2393984045606097,261
10,-0.0024483871341007633,1.233221996985728,260
11,0.01690380918903684,1.247774476843821,262
12,0.02187193956664308,1.2523481157041527,260
13,0.0076948609585221015,1.2429944948838572,261
14,-0.0008371057417038261,1.2366747710756203,260
15,0.02206096066485254,1.2524100693633722,261
16,0.013423891003061308,1.2462298424764553,260
17,0.010686907778100312,1.2397679283637006,262
18,0.005306985218205469,1.2368230269096365,262
19,0.008724191783897701,1.2360123944058174,260
20,-5.799679707003984e-05,1.2262736364994684,263
21,0.004669005121692916,1.22705955164622,260
22,0.009941736479275308,1.2268665953151314,262
23,0.000798845987801609,1.2154830622609996,260
24,0.0003686569844726646,1.2080075657950868,260
25,0.01013360516228764,1.207570313902712,269
26,-0.011594206178331613,1.1861844711242118,259
27,0.011045061955188808,1.2004786672597174,263
28,-0.0189248206334199,1.1739464002933953,259
29,-0.0038143002838101937,1.183949112589455,261
30,-0.02884410594409472,1.1616719047456179,260
31,-0.0010200852553909926,1.1816436783849351,262
32,-0.03502402538976649,1.152088951013717,260
33,-0.019340282300220574,1.1642325473669286,262
34,-0.0489252660020314,1.1374660245660335,262
35,-0.025682654032519854,1.1573575108836993,262
36,-0.025271532751574354,1.1566095532548955,260
37,-0.04773176782321516,1.1404475472764573,262
38,-0.06130957899990708,1.1333833594623675,259
39,-0.04130879376814933,1.1470527449071808,260
40,-0.06291047735401373,1.125871436954499,264
41,-0.04719368528393679,1.1373300498854912,261
42,-0.07443443993931687,1.114139916165383,261
43,-0.049562950389335884,1.135574484898779,259
44,-0.07087186135941818,1.1180403127084424,262
45,-0.059561464053890026,1.1275288441637945,261
46,-0.08391754974661604,1.105812200621007,260
47,-0.06566701802936989,1.1234034622436488,261
48,-0.0816443695898584,1.109430852530507,261
49,-0.07919115571611564,1.1080747543304232,262
50,-0.082796010299934,1.1025836203563109,276
51,-0.11178940729352302,1.079802407789333,255
52,-0.09052020765964847,1.0987936885794893,262
53,-0.10143250842409932,1.0908311323209088,261
54,-0.09457124814523928,1.0950406710136042,261
55,-0.11944746087102111,1.0714406338899536,260
56,-0.10081811305549755,1.0896651453678516,261
57,-0.11734331416560882,1.0741024041698979,262
58,-0.09897030119305611,1.0937925662027956,259
59,-0.1323150916268663,1.0588709673916654,261
60,0.11412333515727587,1.222110814468223,263
61,0.10433826166842004,1.1850028395039924,262
62,0.08169904895075282,1.1552212696811406,260
63,0.02660207188505826,1.0945299767673646,259
64,-0.008092327027812464,1.0676445061766042,262
65,-0.02756124841445425,1.0621307743366526,260
66,-0.058124382734138294,1.0489291176012512,262
67,-0.08467512683518934,1.034192765194061,262
68,-0.0803157982307694,1.0447141112088496,262
69,-0.10138414841941303,1.023781936580438,260
70,-0.0741065474491843,1.0540979147283231,262
71,-0.10304477048602693,1.0224492732807704,260
72,-0.07214120922601085,1.0533112163691132,261
73,-0.09533749880156701,1.0228834177208788,259
74,-0.07047492460038572,1.0512654110470663,263
75,-0.07932511336487118,1.0456339890879944,267
76,-0.09593520586353514,1.0313940075110921,261
77,-0.09044593770394498,1.0447672145768445,260
78,-0.10319125061260845,1.0325535039585718,260
79,-0.10292799834172674,1.04319718835126,262
80,-0.12281657440359055,1.0334630938732539,262
81,-0.12063850764659002,1.0503249539085255,261
82,-0.13445936100152525,1.0420069505246763,260
83,-0.14459485591524684,1.0414291543581997,262
84,-0.12935786249902587,1.0575088431421862,262
85,-0.1471491656516947,1.047848913698369,260
86,-0.12721407407905025,1.0704719992687235,261
87,-0.15860545344644053,1.03601730316005,260
88,-0.14878856744750074,1.047022887682742,261
89,-0.13524572799685775,1.0609845693209499,260
90,-0.1382111707844501,1.0577967554956293,262
91,-0.14488874601413107,1.0485706752704553,260
92,-0.14295641941104859,1.0461755363201033,261
93,-0.1297272819649068,1.0604799608848756,260
94,-0.133591720782083,1.0580640598560276,262
95,-0.14933865807007138,1.0536640671029174,260
96,-0.15383428941214256,1.0537160939522952,261
97,-0.14773993807036243,1.0570700516820832,259
98,-0.13267192966424401,1.0729567861199678,264
99,-0.14814214672031065,1.0565950718038977,260
100,-0.13764348346070318,1.0640080272607562,288
